Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
ARGBM,01/11/2025,19:30,Flandria,Acassuso,1,2
ARGBM,01/11/2025,19:30,San Martin Burzaco,Villa San Carlos,1,1
ARGBM,01/11/2025,20:00,Deportivo Armenio,Real Pilar,0,1
ARGBM,01/11/2025,20:00,Laferrere,CA Ferrocarril Midland,1,4
ARGBM,01/12/2025,21:00,Deportivo Armenio,Sportivo Italiano,1,1
ARGBM,02/08/2025,17:00,Sacachispas FC,Flandria,1,1
ARGBM,02/08/2025,18:30,Real Pilar,Brown de Adrogue,1,1
ARGBM,02/08/2025,20:30,CD UAI Urquiza,Acassuso,0,0
ARGBM,02/08/2025,20:30,Comunicaciones,CS Deportivo Liniers,2,2
ARGBM,02/08/2025,20:30,Deportivo Armenio,Laferrere,1,1
ARGBM,02/08/2025,20:30,Dock Sud,Argentino de Quilmes,1,1
ARGBM,02/08/2025,20:30,San Martin Burzaco,CA Fenix,3,1
ARGBM,02/08/2025,20:30,Sportivo Italiano,Excursionistas,2,1
ARGBM,02/08/2025,20:30,Villa San Carlos,Argentino de Merlo,2,0
ARGBM,02/11/2025,19:30,CA Fenix,Excursionistas,1,5
ARGBM,02/11/2025,19:30,CS Deportivo Liniers,Sportivo Italiano,1,3
ARGBM,02/11/2025,19:30,Villa Dalmine,Brown de Adrogue,1,0
ARGBM,02/12/2025,21:00,Acassuso,Villa San Carlos,1,0
ARGBM,03/08/2025,20:30,Deportivo Merlo,Villa Dalmine,0,0
ARGBM,03/11/2025,19:30,Sacachispas FC,Dock Sud,1,0
ARGBM,04/07/2025,20:05,Laferrere,Villa San Carlos,0,1
ARGBM,04/10/2025,01:00,Argentino de Merlo,CA Fenix,1,0
ARGBM,04/10/2025,20:00,Brown de Adrogue,Laferrere,1,1
ARGBM,04/10/2025,20:30,Acassuso,CS Deportivo Liniers,0,1
ARGBM,04/10/2025,20:30,Real Pilar,Deportivo Merlo,0,0
ARGBM,04/10/2025,20:30,Sportivo Italiano,San Martin Burzaco,1,0
ARGBM,04/10/2025,20:30,Villa San Carlos,Dock Sud,2,2
ARGBM,04/11/2025,01:10,Comunicaciones,CD UAI Urquiza,0,3
ARGBM,04/11/2025,19:30,Argentino de Quilmes,Argentino de Merlo,1,0
ARGBM,05/07/2025,18:00,Argentino de Merlo,Excursionistas,2,1
ARGBM,05/07/2025,20:00,Brown de Adrogue,Acassuso,1,1
ARGBM,05/07/2025,20:30,Argentino de Quilmes,CA Ferrocarril Midland,0,0
ARGBM,05/07/2025,20:30,CA Fenix,Real Pilar,0,2
ARGBM,05/07/2025,20:30,Comunicaciones,Deportivo Merlo,1,2
ARGBM,05/07/2025,20:30,CS Deportivo Liniers,Dock Sud,1,2
ARGBM,05/07/2025,20:30,Deportivo Armenio,Sacachispas FC,0,0
ARGBM,05/07/2025,20:30,Flandria,CD UAI Urquiza,1,0
ARGBM,05/07/2025,20:30,Villa Dalmine,Sportivo Italiano,0,1
ARGBM,05/09/2025,20:30,Acassuso,Sacachispas FC,0,2
ARGBM,05/09/2025,20:30,Argentino de Merlo,Deportivo Armenio,1,1
ARGBM,05/09/2025,20:30,Argentino de Quilmes,Comunicaciones,2,3
ARGBM,05/09/2025,20:30,Sportivo Italiano,Villa San Carlos,0,0
ARGBM,05/10/2025,20:30,Argentino de Quilmes,Flandria,1,1
ARGBM,06/09/2025,20:30,Excursionistas,Deportivo Merlo,3,1
ARGBM,06/10/2025,20:30,CD UAI Urquiza,Sacachispas FC,1,0
ARGBM,06/12/2025,21:00,Acassuso,Real Pilar,0,0
ARGBM,06/12/2025,21:00,Deportivo Armenio,Argentino de Merlo,0,0
ARGBM,07/10/2025,01:00,Excursionistas,Comunicaciones,1,0
ARGBM,07/10/2025,02:10,CA Ferrocarril Midland,Deportivo Armenio,0,0
ARGBM,08/08/2025,20:30,Acassuso,Real Pilar,1,0
ARGBM,08/09/2025,20:30,CD UAI Urquiza,Real Pilar,0,1
ARGBM,08/09/2025,20:30,Flandria,Laferrere,0,0
ARGBM,08/09/2025,20:30,Villa Dalmine,CS Deportivo Liniers,2,1
ARGBM,08/09/2025,23:35,Brown de Adrogue,San Martin Burzaco,0,0
ARGBM,08/11/2025,16:00,Excursionistas,Flandria,0,1
ARGBM,08/11/2025,19:00,Brown de Adrogue,Argentino de Quilmes,1,1
ARGBM,08/11/2025,19:30,CA Ferrocarril Midland,CA Fenix,4,0
ARGBM,08/11/2025,19:30,Real Pilar,Comunicaciones,2,1
ARGBM,08/11/2025,19:30,Sportivo Italiano,Laferrere,1,0
ARGBM,08/11/2025,19:30,Villa San Carlos,Deportivo Armenio,2,1
ARGBM,09/07/2025,01:00,Deportivo Merlo,CS Deportivo Liniers,0,1
ARGBM,09/07/2025,20:05,Real Pilar,Flandria,0,0
ARGBM,09/07/2025,20:30,CD UAI Urquiza,Villa Dalmine,1,0
ARGBM,09/07/2025,20:30,Dock Sud,Laferrere,0,1
ARGBM,09/07/2025,20:30,Sacachispas FC,Comunicaciones,2,3
ARGBM,09/07/2025,20:30,San Martin Burzaco,Deportivo Armenio,1,1
ARGBM,09/07/2025,20:30,Sportivo Italiano,Argentino de Quilmes,3,1
ARGBM,09/07/2025,20:30,Villa San Carlos,CA Fenix,2,2
ARGBM,09/07/2025,22:00,Excursionistas,Brown de Adrogue,0,2
ARGBM,09/08/2025,02:10,CA Ferrocarril Midland,Sportivo Italiano,2,0
ARGBM,09/08/2025,19:30,Laferrere,Comunicaciones,1,0
