Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
BRASB,01/07/2025,02:00,Cuiaba,Botafogo SP,0,1
BRASB,01/08/2025,02:35,Vila Nova,Coritiba,1,2
BRASB,01/10/2025,02:35,Goias,Atletico GO,0,0
BRASB,01/11/2025,01:35,Ferroviaria,Criciuma,0,0
BRASB,01/11/2025,20:00,Goias,Athletico Paranaense,0,1
BRASB,01/11/2025,22:30,Avai FC,Athletic Club,2,1
BRASB,02/08/2025,00:00,Remo,Ferroviaria,0,2
BRASB,02/08/2025,02:30,Operario Ferroviario,Criciuma,1,0
BRASB,02/08/2025,23:30,Botafogo SP,America MG,2,1
BRASB,02/09/2025,00:00,Chapecoense AF,Vila Nova,2,2
BRASB,02/09/2025,02:30,Ferroviaria,Cuiaba,2,2
BRASB,02/11/2025,20:00,Amazonas FC,Cuiaba,2,0
BRASB,02/11/2025,22:30,Remo,Chapecoense AF,1,1
BRASB,03/08/2025,01:30,Amazonas FC,Goias,2,2
BRASB,03/08/2025,21:00,Chapecoense AF,CRB,3,2
BRASB,03/08/2025,21:00,Novorizontino,Avai FC,1,1
BRASB,03/08/2025,23:30,Athletico Paranaense,Paysandu,1,1
BRASB,03/09/2025,00:30,America MG,Avai FC,2,0
BRASB,03/10/2025,00:00,Paysandu,Cuiaba,1,1
BRASB,03/10/2025,02:30,Vila Nova,Criciuma,1,1
BRASB,03/11/2025,00:30,Operario Ferroviario,Vila Nova,2,2
BRASB,03/11/2025,23:00,America MG,Novorizontino,2,2
BRASB,03/11/2025,23:00,Volta Redonda,Botafogo SP,0,1
BRASB,04/07/2025,02:35,Atletico GO,CRB,2,1
BRASB,04/10/2025,00:00,Athletic Club,Amazonas FC,2,2
BRASB,04/10/2025,02:30,Coritiba,Botafogo SP,2,0
BRASB,04/10/2025,02:35,CRB,Avai FC,1,0
BRASB,04/10/2025,21:00,Chapecoense AF,Novorizontino,1,0
BRASB,04/10/2025,23:30,Volta Redonda,Goias,0,0
BRASB,05/07/2025,00:00,Coritiba,Volta Redonda,2,0
BRASB,05/07/2025,21:00,Remo,Cuiaba,0,0
BRASB,05/08/2025,00:00,Athletic Club,Atletico GO,1,1
BRASB,05/08/2025,02:30,Cuiaba,Volta Redonda,2,0
BRASB,05/09/2025,22:00,Amazonas FC,Remo,1,3
BRASB,05/10/2025,01:30,Ferroviaria,America MG,1,3
BRASB,05/10/2025,21:00,Operario Ferroviario,Remo,0,1
BRASB,06/07/2025,00:30,Avai FC,Paysandu,0,0
BRASB,06/07/2025,01:30,Amazonas FC,Athletico Paranaense,0,1
BRASB,06/07/2025,21:00,Ferroviaria,Vila Nova,1,3
BRASB,06/07/2025,23:30,Botafogo SP,Novorizontino,0,0
BRASB,06/09/2025,00:00,Paysandu,Volta Redonda,1,2
BRASB,06/09/2025,02:30,Coritiba,Ferroviaria,4,0
BRASB,06/09/2025,21:00,Botafogo SP,Athletico Paranaense,1,3
BRASB,06/10/2025,01:30,Atletico GO,Athletico Paranaense,3,0
BRASB,07/09/2025,21:00,Criciuma,Chapecoense AF,2,0
BRASB,07/09/2025,23:30,America MG,Operario Ferroviario,1,1
BRASB,07/11/2025,23:00,Athletic Club,Ferroviaria,2,1
BRASB,08/07/2025,00:00,Operario Ferroviario,Chapecoense AF,1,2
BRASB,08/07/2025,02:00,America MG,Athletic Club,0,1
BRASB,08/09/2025,01:30,Avai FC,Goias,2,1
BRASB,08/10/2025,01:00,Amazonas FC,Criciuma,2,1
BRASB,08/10/2025,02:30,Goias,CRB,1,2
BRASB,08/10/2025,02:35,Botafogo SP,Paysandu,1,0
BRASB,08/11/2025,01:30,Cuiaba,Goias,0,1
