Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
CANP,01/07/2025,21:00,HFX Wanderers FC,Valour,3,1
CANP,01/09/2025,21:00,HFX Wanderers FC,Inter Toronto FC,4,0
CANP,02/11/2025,22:00,Forge FC,Cavalry FC,0,1
CANP,03/08/2025,01:00,Forge FC,Valour,5,0
CANP,03/08/2025,22:00,Atlético Ottawa,Inter Toronto FC,0,0
CANP,04/08/2025,21:00,HFX Wanderers FC,Vancouver FC,1,2
CANP,04/10/2025,20:00,HFX Wanderers FC,Inter Toronto FC,1,1
CANP,04/10/2025,22:30,Forge FC,Vancouver FC,1,1
CANP,05/07/2025,23:00,Forge FC,Vancouver FC,2,1
CANP,05/08/2025,00:00,Pacific FC,Cavalry FC,1,0
CANP,05/10/2025,21:00,Valour,Atlético Ottawa,3,3
CANP,06/09/2025,01:30,Inter Toronto FC,Cavalry FC,3,1
CANP,06/09/2025,04:30,Vancouver FC,Valour,2,5
CANP,06/09/2025,22:00,Forge FC,HFX Wanderers FC,1,0
CANP,06/10/2025,00:00,Pacific FC,Cavalry FC,3,3
CANP,07/09/2025,01:00,Atlético Ottawa,Pacific FC,2,0
CANP,09/08/2025,19:00,Inter Toronto FC,Forge FC,1,2
CANP,09/08/2025,23:00,Cavalry FC,HFX Wanderers FC,0,0
CANP,09/11/2025,23:20,Atlético Ottawa,Cavalry FC,2,1
CANP,10/08/2025,21:00,Valour,Atlético Ottawa,1,2
CANP,10/10/2025,01:30,Inter Toronto FC,Pacific FC,2,2
CANP,11/08/2025,00:00,Vancouver FC,Pacific FC,2,3
CANP,11/10/2025,03:30,Cavalry FC,Forge FC,1,1
CANP,11/10/2025,21:00,Valour,HFX Wanderers FC,0,3
CANP,12/09/2025,02:00,Valour,Forge FC,2,1
CANP,12/10/2025,21:00,Atlético Ottawa,Vancouver FC,0,0
CANP,13/09/2025,22:00,Cavalry FC,HFX Wanderers FC,3,1
CANP,14/07/2025,03:00,Vancouver FC,Cavalry FC,0,0
CANP,14/09/2025,01:00,Pacific FC,Vancouver FC,1,1
CANP,14/09/2025,20:00,Inter Toronto FC,Atlético Ottawa,2,2
CANP,17/08/2025,00:00,Pacific FC,HFX Wanderers FC,2,2
CANP,17/08/2025,19:30,Valour,Inter Toronto FC,0,0
CANP,17/08/2025,22:00,Forge FC,Atlético Ottawa,2,0
CANP,18/08/2025,01:00,Cavalry FC,Vancouver FC,5,4
CANP,18/10/2025,22:00,HFX Wanderers FC,Atlético Ottawa,0,1
CANP,18/10/2025,22:00,Forge FC,Inter Toronto FC,3,0
CANP,18/10/2025,22:00,Vancouver FC,Cavalry FC,2,2
CANP,18/10/2025,22:00,Pacific FC,Valour,1,4
CANP,19/07/2025,01:00,Atlético Ottawa,HFX Wanderers FC,2,0
CANP,19/07/2025,01:00,Forge FC,Pacific FC,2,0
CANP,19/07/2025,22:00,Inter Toronto FC,Vancouver FC,4,0
CANP,20/07/2025,21:00,Valour,Cavalry FC,1,2
CANP,20/09/2025,21:00,HFX Wanderers FC,Pacific FC,3,0
CANP,21/09/2025,00:00,Cavalry FC,Valour,3,0
CANP,21/09/2025,21:00,Atlético Ottawa,Forge FC,1,1
CANP,22/09/2025,00:00,Vancouver FC,Inter Toronto FC,2,1
CANP,23/08/2025,00:00,HFX Wanderers FC,Valour,4,1
CANP,23/08/2025,04:00,Vancouver FC,Forge FC,0,1
CANP,23/10/2025,00:30,HFX Wanderers FC,Inter Toronto FC,6,7
CANP,24/08/2025,01:00,Atlético Ottawa,Cavalry FC,2,2
CANP,24/08/2025,22:00,Inter Toronto FC,Pacific FC,5,1
CANP,26/07/2025,00:00,HFX Wanderers FC,Forge FC,1,2
CANP,26/07/2025,04:00,Vancouver FC,Valour,1,3
CANP,26/07/2025,23:00,Cavalry FC,Inter Toronto FC,0,1
CANP,26/10/2025,19:00,Forge FC,Atlético Ottawa,1,2
CANP,26/10/2025,23:00,Cavalry FC,Inter Toronto FC,4,1
CANP,27/07/2025,02:00,Pacific FC,Atlético Ottawa,0,2
CANP,27/09/2025,19:00,Atlético Ottawa,Cavalry FC,3,0
CANP,27/09/2025,22:00,Forge FC,Pacific FC,4,0
CANP,28/09/2025,21:00,Inter Toronto FC,Valour,1,0
CANP,29/09/2025,00:00,Vancouver FC,HFX Wanderers FC,3,1
CANP,30/07/2025,02:00,Valour,Cavalry FC,2,1
CANP,30/08/2025,22:00,Cavalry FC,Forge FC,4,1
CANP,31/08/2025,01:00,Atlético Ottawa,Vancouver FC,3,1
CANP,31/08/2025,21:00,Valour,Pacific FC,1,1
