Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
DEN2,01/08/2026,14:00,Brabrand,Skive,1,3
DEN2,01/08/2026,14:00,HIK,VSK Aarhus,0,2
DEN2,01/08/2026,14:00,Middelfart,Thisted,4,1
DEN2,04/09/2026,19:00,B 93,Næstved,1,1
DEN2,05/09/2026,14:00,FA 2000,Skive,2,2
DEN2,05/09/2026,14:00,FC Roskilde,VSK Aarhus,1,0
DEN2,05/09/2026,14:00,HIK,Brabrand,2,1
DEN2,05/09/2026,14:00,Middelfart,Fremad Amager,1,1
DEN2,06/09/2026,13:00,Thisted,Nykøbing FC,0,3
DEN2,07/08/2026,18:30,Middelfart,Brabrand,4,0
DEN2,07/08/2026,19:00,B 93,FC Roskilde,1,2
DEN2,08/08/2026,13:30,VSK Aarhus,Fremad Amager,3,0
DEN2,08/08/2026,15:00,Skive,Nykøbing FC,2,3
DEN2,08/08/2026,15:00,Thisted,FA 2000,0,1
DEN2,09/08/2026,13:00,Næstved,HIK,1,1
DEN2,11/09/2026,19:00,Fremad Amager,HIK,2,1
DEN2,13/09/2026,13:00,Næstved,Thisted,3,1
DEN2,13/09/2026,13:30,VSK Aarhus,B 93,2,2
DEN2,13/09/2026,14:00,Brabrand,FC Roskilde,1,1
DEN2,13/09/2026,14:00,Nykøbing FC,FA 2000,3,1
DEN2,13/09/2026,14:00,Skive,Middelfart,0,0
DEN2,14/08/2026,18:00,HIK,FA 2000,2,1
DEN2,14/08/2026,19:00,Brabrand,Næstved,0,1
DEN2,14/08/2026,19:00,Nykøbing FC,B 93,4,0
DEN2,14/08/2026,19:00,Skive,Fremad Amager,0,2
DEN2,15/08/2026,13:30,VSK Aarhus,Thisted,3,1
DEN2,15/08/2026,14:00,FC Roskilde,Middelfart,1,1
DEN2,18/09/2026,19:00,FC Roskilde,FA 2000,5,1
DEN2,18/09/2026,19:00,Fremad Amager,Næstved,1,1
DEN2,18/09/2026,19:00,Nykøbing FC,HIK,3,0
DEN2,18/09/2026,19:00,Skive,B 93,2,1
DEN2,19/09/2026,14:00,Middelfart,VSK Aarhus,1,1
DEN2,20/09/2026,13:00,Thisted,Brabrand,3,1
DEN2,21/08/2026,19:00,B 93,HIK,3,0
DEN2,21/08/2026,19:00,Fremad Amager,FC Roskilde,1,1
DEN2,21/08/2026,19:00,Thisted,Skive,0,1
DEN2,22/08/2026,14:00,FA 2000,Brabrand,2,4
DEN2,22/08/2026,14:00,Middelfart,Nykøbing FC,2,3
DEN2,23/08/2026,13:00,Næstved,VSK Aarhus,0,2
DEN2,28/08/2026,19:00,Fremad Amager,Thisted,2,2
DEN2,28/08/2026,19:00,Nykøbing FC,FC Roskilde,2,2
DEN2,29/08/2026,13:30,VSK Aarhus,FA 2000,0,0
DEN2,29/08/2026,14:00,Brabrand,B 93,1,1
DEN2,29/08/2026,14:00,HIK,Middelfart,1,2
DEN2,30/08/2026,14:00,Skive,Næstved,1,2
DEN2,31/07/2026,19:00,FA 2000,B 93,1,3
DEN2,31/07/2026,19:00,FC Roskilde,Næstved,2,2
DEN2,31/07/2026,19:00,Nykøbing FC,Fremad Amager,2,2
