Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
EPL2,11/09/2026,20:00,Brighton & Hove Albion U21,Leicester City U21,3,0
EPL2,11/09/2026,20:00,Derby County U21,Tottenham Hotspur U21,1,3
EPL2,11/09/2026,20:00,Norwich City U21,Birmingham U21,4,2
EPL2,11/09/2026,20:00,Stoke City U21,Wolverhampton Wanderers U21,4,0
EPL2,11/09/2026,20:00,Sunderland U21,Ipswich Town U21,4,2
EPL2,11/09/2026,20:00,Fulham U21,Aston Villa U21,3,3
EPL2,12/09/2026,13:00,Southampton U21,Bournemouth U21,3,1
EPL2,12/09/2026,15:00,Arsenal U21,Chelsea U21,1,4
EPL2,12/09/2026,20:00,Manchester City U21,Manchester United U21,0,0
EPL2,13/09/2026,13:00,Middlesbrough U21,Leeds United U21,4,4
EPL2,13/09/2026,14:00,Brentford U21,Everton U21,0,2
EPL2,14/09/2026,20:00,Blackburn Rovers U21,Reading U21,2,3
EPL2,14/09/2026,20:00,Nottingham Forest U21,Burnley U21,1,0
EPL2,14/09/2026,20:00,West Ham United U21,Liverpool U21,1,0
EPL2,18/09/2026,14:00,Birmingham U21,Arsenal U21,0,0
EPL2,18/09/2026,20:00,Aston Villa U21,Middlesbrough U21,2,2
EPL2,18/09/2026,20:00,Burnley U21,Derby County U21,4,1
EPL2,18/09/2026,20:00,Leicester City U21,West Ham United U21,0,0
EPL2,18/09/2026,20:00,Manchester United U21,Brentford U21,3,2
EPL2,18/09/2026,20:00,Sunderland U21,Norwich City U21,3,1
EPL2,18/09/2026,20:00,West Bromwich Albion U21,Nottingham Forest U21,1,3
EPL2,18/09/2026,20:00,Wolverhampton Wanderers U21,Southampton U21,0,2
EPL2,19/09/2026,13:00,Crystal Palace U21,Blackburn Rovers U21,0,1
EPL2,19/09/2026,13:00,Liverpool U21,Brighton & Hove Albion U21,5,1
EPL2,19/09/2026,13:00,Reading U21,Everton U21,0,0
EPL2,19/09/2026,13:30,Leeds United U21,Newcastle United U21,2,0
EPL2,19/09/2026,14:00,Tottenham Hotspur U21,Manchester City U21,4,2
EPL2,19/09/2026,16:00,Chelsea U21,Fulham U21,3,1
EPL2,21/08/2026,20:00,Bournemouth U21,Chelsea U21,2,1
EPL2,21/08/2026,20:00,Aston Villa U21,Brighton & Hove Albion U21,2,1
EPL2,21/08/2026,20:00,Everton U21,Liverpool U21,1,1
EPL2,21/08/2026,20:00,Fulham U21,Burnley U21,4,3
EPL2,21/08/2026,20:00,Leicester City U21,Blackburn Rovers U21,0,0
EPL2,21/08/2026,20:00,Stoke City U21,Brentford U21,2,3
EPL2,21/08/2026,20:00,West Ham United U21,Southampton U21,0,0
EPL2,21/09/2026,20:00,Bournemouth U21,Stoke City U21,2,1
EPL2,22/08/2026,14:00,Arsenal U21,Crystal Palace U21,1,1
EPL2,23/08/2026,13:00,Middlesbrough U21,Norwich City U21,0,1
EPL2,23/08/2026,14:00,Leeds United U21,West Bromwich Albion U21,4,3
EPL2,24/08/2026,20:00,Manchester City U21,Wolverhampton Wanderers U21,4,0
EPL2,24/08/2026,20:00,Manchester United U21,Ipswich Town U21,5,0
EPL2,24/08/2026,20:00,Newcastle United U21,Tottenham Hotspur U21,1,3
EPL2,24/08/2026,20:00,Reading U21,Derby County U21,1,3
EPL2,24/08/2026,20:00,Sunderland U21,Nottingham Forest U21,5,1
EPL2,28/08/2026,20:00,Aston Villa U21,Crystal Palace U21,0,2
EPL2,28/08/2026,20:00,Burnley U21,Reading U21,1,3
EPL2,28/08/2026,20:00,Everton U21,Southampton U21,1,2
EPL2,28/08/2026,20:00,Nottingham Forest U21,Manchester City U21,2,1
EPL2,28/08/2026,20:00,Ipswich Town U21,Blackburn Rovers U21,4,1
EPL2,28/08/2026,20:30,Norwich City U21,Stoke City U21,0,0
EPL2,30/08/2026,14:00,Liverpool U21,Leeds United U21,2,1
EPL2,31/08/2026,14:00,Bournemouth U21,Middlesbrough U21,3,1
EPL2,31/08/2026,14:00,Brentford U21,Sunderland U21,5,1
EPL2,31/08/2026,14:00,Chelsea U21,West Ham United U21,5,4
EPL2,31/08/2026,14:00,Derby County U21,West Bromwich Albion U21,4,4
EPL2,31/08/2026,15:00,Manchester United U21,Leicester City U21,4,1
EPL2,31/08/2026,15:00,Tottenham Hotspur U21,Birmingham U21,3,3
EPL2,31/08/2026,20:00,Brighton & Hove Albion U21,Arsenal U21,2,2
EPL2,31/08/2026,20:00,Newcastle United U21,Fulham U21,0,4
