Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
FINY,02/08/2025,15:00,FC Lahti,EIF,3,1
FINY,02/08/2025,15:00,JIPPO,SJK Akatemia,3,1
FINY,02/08/2025,15:00,KäPa,JäPS,0,3
FINY,02/08/2025,15:00,SalPa,Klubi 04,0,3
FINY,02/08/2025,15:00,TPS,PK-35,1,2
FINY,03/07/2025,17:30,FC Lahti,JIPPO,3,2
FINY,03/07/2025,17:30,KäPa,TPS,4,2
FINY,03/10/2025,17:30,FC Lahti,SJK Akatemia,3,0
FINY,03/10/2025,17:30,PK-35,EIF,1,2
FINY,04/07/2025,17:30,JäPS,SalPa,4,3
FINY,04/10/2025,14:00,SalPa,TPS,1,0
FINY,04/10/2025,15:00,JIPPO,KäPa,2,1
FINY,04/10/2025,17:30,Klubi 04,JäPS,2,1
FINY,05/07/2025,18:00,Klubi 04,EIF,2,2
FINY,05/09/2025,17:30,KäPa,JäPS,2,3
FINY,05/09/2025,17:30,TPS,EIF,4,0
FINY,06/09/2025,14:00,SalPa,PK-35,1,2
FINY,06/09/2025,15:00,JIPPO,FC Lahti,1,0
FINY,08/07/2025,17:30,JIPPO,JäPS,1,1
FINY,08/07/2025,17:30,SJK Akatemia,FC Lahti,0,3
FINY,09/07/2025,17:30,EIF,SalPa,4,0
FINY,09/07/2025,17:30,KäPa,PK-35,1,1
FINY,09/07/2025,17:30,TPS,Klubi 04,4,1
FINY,12/09/2025,17:30,EIF,SalPa,2,3
FINY,12/09/2025,17:30,PK-35,KäPa,1,1
FINY,13/07/2025,15:00,Klubi 04,JIPPO,1,1
FINY,13/07/2025,17:30,EIF,SJK Akatemia,3,1
FINY,13/07/2025,17:30,JäPS,PK-35,1,4
FINY,13/07/2025,17:30,SalPa,KäPa,1,0
FINY,14/07/2025,17:30,FC Lahti,TPS,2,2
FINY,14/09/2025,16:00,SJK Akatemia,JIPPO,1,1
FINY,14/09/2025,17:30,FC Lahti,JäPS,2,1
FINY,14/09/2025,18:00,Klubi 04,TPS,2,3
FINY,15/08/2025,17:30,JäPS,SalPa,2,0
FINY,15/08/2025,17:30,TPS,PK-35,1,3
FINY,16/07/2025,17:30,JIPPO,EIF,3,2
FINY,16/08/2025,15:00,JIPPO,Klubi 04,0,1
FINY,16/08/2025,16:00,FC Lahti,KäPa,2,2
FINY,18/07/2025,17:30,TPS,SalPa,3,2
FINY,18/08/2025,17:30,EIF,SJK Akatemia,2,3
FINY,18/10/2025,14:00,EIF,Klubi 04,2,1
FINY,18/10/2025,14:00,JäPS,JIPPO,1,1
FINY,18/10/2025,14:00,KäPa,SalPa,1,2
FINY,18/10/2025,14:00,SJK Akatemia,PK-35,1,2
FINY,18/10/2025,14:00,TPS,FC Lahti,3,3
FINY,19/07/2025,13:00,KäPa,FC Lahti,2,2
FINY,19/07/2025,15:00,SJK Akatemia,JäPS,4,1
FINY,19/07/2025,17:00,PK-35,Klubi 04,1,1
FINY,19/09/2025,16:00,JIPPO,EIF,2,2
FINY,19/09/2025,16:30,SalPa,FC Lahti,1,4
FINY,19/09/2025,17:30,JäPS,TPS,1,1
FINY,19/09/2025,17:30,KäPa,SJK Akatemia,3,1
FINY,20/09/2025,13:00,PK-35,Klubi 04,2,1
FINY,22/08/2025,17:30,EIF,FC Lahti,0,2
FINY,22/08/2025,17:30,PK-35,JäPS,0,0
FINY,22/08/2025,17:30,TPS,SJK Akatemia,2,1
FINY,23/07/2025,17:30,Klubi 04,SalPa,3,1
FINY,23/08/2025,15:00,SalPa,JIPPO,0,1
FINY,23/08/2025,17:00,Klubi 04,KäPa,0,1
FINY,24/09/2025,19:00,Klubi 04,SJK Akatemia,1,4
FINY,25/07/2025,17:30,EIF,TPS,0,2
FINY,25/07/2025,17:30,JäPS,FC Lahti,2,1
FINY,25/07/2025,17:30,PK-35,JIPPO,1,1
FINY,26/09/2025,17:30,EIF,KäPa,4,1
FINY,27/09/2025,14:00,TPS,JIPPO,0,1
FINY,27/09/2025,15:00,FC Lahti,PK-35,1,0
FINY,27/09/2025,18:30,Klubi 04,SalPa,1,0
FINY,28/07/2025,17:30,Klubi 04,KäPa,1,1
FINY,28/07/2025,17:30,SJK Akatemia,SalPa,3,0
FINY,28/08/2025,17:30,FC Lahti,Klubi 04,2,2
FINY,28/09/2025,16:00,SJK Akatemia,JäPS,1,1
FINY,29/08/2025,17:30,JäPS,EIF,0,0
FINY,29/08/2025,17:30,PK-35,JIPPO,0,2
FINY,30/08/2025,15:00,KäPa,TPS,3,3
FINY,30/08/2025,16:00,SJK Akatemia,SalPa,2,1
