Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
G1,05/09/2026,18:00,NFC Volos,Olympiacos,1,1
G1,05/09/2026,20:00,AEK Athens,Aris Thessaloniki,5,0
G1,06/09/2026,18:00,Atromitos,Kalamata,1,1
G1,06/09/2026,18:30,OFI Crete,Kifisia FC,2,0
G1,06/09/2026,19:00,Levadiakos,Panetolikos,0,2
G1,06/09/2026,20:30,Panathinaikos,PAOK Thessaloniki,3,1
G1,07/09/2026,17:00,Asteras Tripolis,Iraklis,0,2
G1,10/09/2026,20:15,Panathinaikos,Kifisia FC,3,1
G1,12/09/2026,18:00,Olympiacos,OFI Crete,0,1
G1,12/09/2026,20:00,Iraklis,Atromitos,1,1
G1,13/09/2026,17:00,Kalamata,NFC Volos,3,1
G1,13/09/2026,18:00,Asteras Tripolis,AEK Athens,1,1
G1,13/09/2026,20:00,Kifisia FC,Levadiakos,0,0
G1,13/09/2026,20:00,PAOK Thessaloniki,Aris Thessaloniki,2,0
G1,13/09/2026,20:30,Panathinaikos,Panetolikos,3,0
G1,19/09/2026,18:00,Atromitos,Kifisia FC,1,2
G1,19/09/2026,18:30,Aris Thessaloniki,Iraklis,0,0
G1,20/09/2026,16:00,Levadiakos,Olympiacos,0,1
G1,20/09/2026,17:00,NFC Volos,AEK Athens,1,2
G1,20/09/2026,18:00,OFI Crete,Asteras Tripolis,2,2
G1,20/09/2026,18:30,Kalamata,Panathinaikos,0,1
G1,20/09/2026,20:00,Panetolikos,PAOK Thessaloniki,1,3
G1,22/08/2026,19:00,AEK Athens,Iraklis,4,0
G1,22/08/2026,19:00,Kalamata,Aris Thessaloniki,2,3
G1,22/08/2026,20:30,Olympiacos,Atromitos,1,0
G1,23/08/2026,18:30,OFI Crete,NFC Volos,2,0
G1,23/08/2026,20:00,Panathinaikos,Kifisia FC,0,0
G1,23/08/2026,20:00,PAOK Thessaloniki,Levadiakos,4,0
G1,23/08/2026,20:30,Panetolikos,Asteras Tripolis,3,1
G1,29/08/2026,18:30,NFC Volos,Iraklis,1,1
G1,29/08/2026,20:30,Panetolikos,Kalamata,2,0
G1,30/08/2026,18:30,Aris Thessaloniki,OFI Crete,2,1
G1,30/08/2026,19:15,Atromitos,PAOK Thessaloniki,1,2
G1,30/08/2026,20:00,Asteras Tripolis,Olympiacos,0,1
G1,30/08/2026,20:00,Kifisia FC,AEK Athens,1,1
G1,31/08/2026,18:30,Levadiakos,Panathinaikos,0,2
