Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
GRLNE,01/08/2026,14:00,FSV Zwickau,Greifswalder FC,0,3
GRLNE,01/08/2026,14:00,RSV Eintracht 1949,FSV Luckenwalde,3,0
GRLNE,01/08/2026,14:00,VSG Altglienicke,Hertha Berlin II,0,0
GRLNE,01/08/2026,16:00,BFC Dynamo,BSG Chemie Leipzig,2,0
GRLNE,02/08/2026,14:00,Hallescher FC,RW Erfurt,1,1
GRLNE,02/08/2026,14:00,Lokomotive Leipzig,Magdeburg II,3,3
GRLNE,02/09/2026,19:00,Carl Zeiss Jena,VSG Altglienicke,1,0
GRLNE,02/09/2026,19:00,Hallescher FC,Tasmania Berlin,2,0
GRLNE,04/08/2026,19:00,Babelsberg,VSG Altglienicke,2,2
GRLNE,04/08/2026,19:00,Carl Zeiss Jena,RSV Eintracht 1949,4,0
GRLNE,04/08/2026,19:00,Chemnitzer FC,FSV Zwickau,3,1
GRLNE,04/08/2026,19:00,Hertha Berlin II,Greifswalder FC,1,4
GRLNE,04/08/2026,19:00,Magdeburg II,FSV Luckenwalde,0,1
GRLNE,05/08/2026,19:00,BFC Preussen,Lokomotive Leipzig,1,2
GRLNE,05/08/2026,19:00,BSG Chemie Leipzig,Hallescher FC,0,1
GRLNE,05/08/2026,19:00,RW Erfurt,Tasmania Berlin,6,0
GRLNE,06/08/2026,19:00,Erzgebirge Aue,BFC Dynamo,3,2
GRLNE,07/08/2026,19:00,Greifswalder FC,VSG Altglienicke,1,3
GRLNE,08/08/2026,14:00,FSV Luckenwalde,Tasmania Berlin,2,3
GRLNE,08/08/2026,14:00,RSV Eintracht 1949,BSG Chemie Leipzig,1,1
GRLNE,08/08/2026,14:30,Lokomotive Leipzig,Hertha Berlin II,1,2
GRLNE,09/08/2026,14:00,BFC Dynamo,FSV Zwickau,0,0
GRLNE,09/08/2026,14:00,Carl Zeiss Jena,RW Erfurt,1,2
GRLNE,09/08/2026,14:00,Erzgebirge Aue,BFC Preussen,2,1
GRLNE,09/08/2026,14:00,Hallescher FC,Chemnitzer FC,0,0
GRLNE,10/09/2026,19:00,BFC Dynamo,Tasmania Berlin,3,1
GRLNE,11/08/2026,19:00,Magdeburg II,Babelsberg,3,1
GRLNE,11/08/2026,19:00,VSG Altglienicke,Hertha Berlin II,3,1
GRLNE,11/09/2026,19:00,RW Erfurt,RSV Eintracht 1949,5,0
GRLNE,11/09/2026,19:00,VSG Altglienicke,Chemnitzer FC,0,2
GRLNE,12/09/2026,14:00,Babelsberg,Hallescher FC,1,1
GRLNE,12/09/2026,14:00,BFC Preussen,Magdeburg II,4,1
GRLNE,12/09/2026,14:00,Carl Zeiss Jena,Hertha Berlin II,3,0
GRLNE,12/09/2026,14:00,Erzgebirge Aue,FSV Luckenwalde,2,1
GRLNE,12/09/2026,14:30,BSG Chemie Leipzig,FSV Zwickau,2,2
GRLNE,13/09/2026,14:00,Greifswalder FC,Lokomotive Leipzig,3,3
GRLNE,14/08/2026,19:00,Babelsberg,RSV Eintracht 1949,3,3
GRLNE,14/08/2026,19:00,BSG Chemie Leipzig,Carl Zeiss Jena,0,1
GRLNE,14/08/2026,19:00,FSV Zwickau,FSV Luckenwalde,2,1
GRLNE,14/08/2026,19:00,Hertha Berlin II,BFC Dynamo,1,1
GRLNE,15/08/2026,14:00,BFC Preussen,Greifswalder FC,1,1
GRLNE,15/08/2026,14:00,RW Erfurt,Magdeburg II,4,1
GRLNE,15/08/2026,16:00,Chemnitzer FC,Erzgebirge Aue,3,1
GRLNE,15/09/2026,19:00,FSV Luckenwalde,BFC Preussen,0,2
GRLNE,15/09/2026,19:00,FSV Zwickau,VSG Altglienicke,1,2
GRLNE,15/09/2026,19:00,Hallescher FC,Carl Zeiss Jena,2,0
GRLNE,15/09/2026,19:00,Hertha Berlin II,RW Erfurt,1,2
GRLNE,16/08/2026,14:00,Tasmania Berlin,Lokomotive Leipzig,2,3
GRLNE,16/08/2026,14:00,VSG Altglienicke,Hallescher FC,2,1
GRLNE,16/09/2026,17:00,RSV Eintracht 1949,Greifswalder FC,1,2
GRLNE,16/09/2026,19:00,Lokomotive Leipzig,BFC Dynamo,2,2
GRLNE,16/09/2026,19:00,Magdeburg II,Erzgebirge Aue,1,2
GRLNE,16/09/2026,19:00,Tasmania Berlin,BSG Chemie Leipzig,2,5
GRLNE,16/09/2026,19:10,Chemnitzer FC,Babelsberg,0,1
GRLNE,18/09/2026,19:00,FSV Zwickau,Hallescher FC,1,3
GRLNE,19/09/2026,14:00,Babelsberg,Hertha Berlin II,0,2
GRLNE,19/09/2026,14:00,BFC Preussen,Tasmania Berlin,1,1
GRLNE,19/09/2026,14:00,VSG Altglienicke,RSV Eintracht 1949,3,1
GRLNE,19/09/2026,14:30,RW Erfurt,Erzgebirge Aue,2,2
GRLNE,20/09/2026,14:00,BFC Dynamo,Magdeburg II,4,1
GRLNE,20/09/2026,14:00,Carl Zeiss Jena,Lokomotive Leipzig,1,2
GRLNE,20/09/2026,14:00,Greifswalder FC,FSV Luckenwalde,3,1
GRLNE,20/09/2026,18:15,BSG Chemie Leipzig,Chemnitzer FC,1,3
GRLNE,24/07/2026,19:00,FSV Luckenwalde,Lokomotive Leipzig,1,3
GRLNE,24/07/2026,19:00,RW Erfurt,BFC Dynamo,4,1
GRLNE,25/07/2026,14:00,BFC Preussen,RSV Eintracht 1949,1,1
GRLNE,25/07/2026,14:00,Hertha Berlin II,Chemnitzer FC,0,4
GRLNE,25/07/2026,14:00,Magdeburg II,Tasmania Berlin,5,1
GRLNE,25/07/2026,14:30,Erzgebirge Aue,VSG Altglienicke,3,3
GRLNE,25/08/2026,19:00,BFC Dynamo,BFC Preussen,2,0
GRLNE,25/08/2026,19:00,FSV Luckenwalde,RW Erfurt,0,5
GRLNE,25/08/2026,19:00,Lokomotive Leipzig,Chemnitzer FC,0,2
GRLNE,25/08/2026,19:00,Magdeburg II,BSG Chemie Leipzig,1,0
GRLNE,26/07/2026,14:00,BSG Chemie Leipzig,Babelsberg,0,2
GRLNE,26/07/2026,14:00,Carl Zeiss Jena,FSV Zwickau,1,2
GRLNE,26/07/2026,14:00,Greifswalder FC,Hallescher FC,2,2
GRLNE,26/08/2026,18:00,RSV Eintracht 1949,FSV Zwickau,1,2
GRLNE,26/08/2026,19:00,Erzgebirge Aue,Hertha Berlin II,0,0
GRLNE,26/08/2026,19:00,Greifswalder FC,Babelsberg,2,1
GRLNE,28/08/2026,19:00,Chemnitzer FC,Carl Zeiss Jena,1,1
GRLNE,28/08/2026,19:00,VSG Altglienicke,BSG Chemie Leipzig,1,1
GRLNE,29/08/2026,14:00,Hertha Berlin II,Hallescher FC,0,2
GRLNE,29/08/2026,14:00,RW Erfurt,BFC Preussen,1,1
GRLNE,29/08/2026,16:00,FSV Zwickau,Babelsberg,1,0
GRLNE,30/08/2026,14:00,FSV Luckenwalde,BFC Dynamo,0,2
GRLNE,30/08/2026,14:00,Lokomotive Leipzig,Erzgebirge Aue,1,2
GRLNE,30/08/2026,14:00,RSV Eintracht 1949,Magdeburg II,2,4
GRLNE,30/08/2026,15:00,Tasmania Berlin,Greifswalder FC,2,2
GRLNE,31/07/2026,19:00,Babelsberg,Carl Zeiss Jena,0,1
GRLNE,31/07/2026,19:00,Chemnitzer FC,BFC Preussen,3,0
GRLNE,31/07/2026,19:00,Tasmania Berlin,Erzgebirge Aue,0,2
