Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
GRLSW,01/03/2026,14:00,FCA Walldorf,Homburg,1,0
GRLSW,01/03/2026,14:00,Freiburg II,Sandhausen,2,2
GRLSW,01/03/2026,14:00,Mainz 05 II,TSV Steinbach,3,1
GRLSW,01/08/2025,19:00,Sandhausen,FSV Frankfurt,1,2
GRLSW,01/10/2025,19:00,Hessen Kassel,Bahlinger SC,2,2
GRLSW,01/10/2025,19:00,Sonnenhof Großaspach,Sandhausen,2,3
GRLSW,01/11/2025,14:00,Bahlinger SC,TSG Balingen,4,3
GRLSW,01/11/2025,14:00,FCA Walldorf,Kickers Offenbach,4,3
GRLSW,01/11/2025,14:00,Freiberg,SG Barockstadt Fulda Lehnerz,1,1
GRLSW,01/11/2025,14:00,Freiburg II,TSV Steinbach,3,2
GRLSW,01/11/2025,14:00,FSV Frankfurt,Bayern Alzenau,4,0
GRLSW,01/11/2025,14:00,Hessen Kassel,Eintracht Trier,3,2
GRLSW,01/11/2025,14:00,Sonnenhof Großaspach,Mainz 05 II,2,2
GRLSW,01/11/2025,14:00,TSV Schott Mainz,Sandhausen,0,2
GRLSW,02/04/2026,19:00,FSV Frankfurt,FCA Walldorf,2,2
GRLSW,02/05/2026,14:00,Bayern Alzenau,FSV Frankfurt,1,3
GRLSW,02/05/2026,14:00,Kickers Offenbach,FCA Walldorf,1,1
GRLSW,02/05/2026,14:00,Mainz 05 II,Sonnenhof Großaspach,0,0
GRLSW,02/05/2026,14:00,Sandhausen,TSV Schott Mainz,0,1
GRLSW,02/05/2026,14:00,SG Barockstadt Fulda Lehnerz,Freiberg,0,2
GRLSW,02/05/2026,14:00,TSG Balingen,Bahlinger SC,1,2
GRLSW,02/05/2026,14:00,TSV Steinbach,Freiburg II,3,1
GRLSW,02/08/2025,14:00,Bahlinger SC,Kickers Offenbach,0,2
GRLSW,02/08/2025,14:00,Bayern Alzenau,TSV Schott Mainz,0,4
GRLSW,02/08/2025,14:00,Freiberg,Freiburg II,3,0
GRLSW,02/08/2025,14:00,Homburg,Hessen Kassel,1,1
GRLSW,02/08/2025,14:00,Mainz 05 II,FCA Walldorf,0,0
GRLSW,02/08/2025,14:00,Sonnenhof Großaspach,TSG Balingen,6,1
GRLSW,02/08/2025,14:00,TSV Steinbach,Eintracht Trier,3,2
GRLSW,02/11/2025,14:00,Homburg,Stuttgarter Kickers,2,1
GRLSW,03/03/2026,19:00,Bayern Alzenau,Bahlinger SC,2,0
GRLSW,03/03/2026,19:00,Freiberg,Eintracht Trier,1,0
GRLSW,03/03/2026,19:00,FSV Frankfurt,Hessen Kassel,4,2
GRLSW,03/05/2026,14:00,Eintracht Trier,Hessen Kassel,0,2
GRLSW,03/05/2026,14:00,Stuttgarter Kickers,Homburg,2,0
GRLSW,03/08/2025,14:00,SG Barockstadt Fulda Lehnerz,Stuttgarter Kickers,0,1
GRLSW,03/10/2025,14:00,Bayern Alzenau,SG Barockstadt Fulda Lehnerz,1,4
GRLSW,04/03/2026,19:00,TSV Steinbach,Kickers Offenbach,4,2
GRLSW,04/04/2026,14:00,Bahlinger SC,Hessen Kassel,1,2
GRLSW,04/04/2026,14:00,Bayern Alzenau,TSV Steinbach,3,4
GRLSW,04/04/2026,14:00,Eintracht Trier,Mainz 05 II,0,5
GRLSW,04/04/2026,14:00,Sandhausen,Sonnenhof Großaspach,1,3
GRLSW,04/04/2026,14:00,SG Barockstadt Fulda Lehnerz,Kickers Offenbach,1,0
GRLSW,04/04/2026,14:00,TSG Balingen,Freiburg II,2,3
GRLSW,04/04/2026,14:00,TSV Schott Mainz,Homburg,0,7
GRLSW,04/10/2025,14:00,Bahlinger SC,Mainz 05 II,1,1
GRLSW,04/10/2025,14:00,Eintracht Trier,Freiburg II,3,1
GRLSW,04/10/2025,14:00,Freiberg,Homburg,1,2
GRLSW,04/10/2025,14:00,Hessen Kassel,FCA Walldorf,1,3
GRLSW,04/10/2025,14:00,TSG Balingen,Kickers Offenbach,1,1
GRLSW,04/10/2025,14:00,TSV Schott Mainz,Sonnenhof Großaspach,1,4
GRLSW,05/09/2025,19:00,FCA Walldorf,Freiberg,1,3
GRLSW,05/09/2025,19:00,Kickers Offenbach,Homburg,2,2
GRLSW,05/10/2025,14:00,FSV Frankfurt,Stuttgarter Kickers,3,0
GRLSW,05/10/2025,14:00,Sandhausen,TSV Steinbach,1,5
GRLSW,05/12/2025,19:00,Eintracht Trier,Stuttgarter Kickers,2,4
GRLSW,05/12/2025,19:00,FCA Walldorf,TSV Steinbach,2,2
GRLSW,05/12/2025,19:00,Kickers Offenbach,Mainz 05 II,3,1
GRLSW,06/04/2026,14:00,Freiberg,Stuttgarter Kickers,2,1
GRLSW,06/09/2025,14:00,Bahlinger SC,Sandhausen,1,3
GRLSW,06/09/2025,14:00,Eintracht Trier,Bayern Alzenau,3,0
GRLSW,06/09/2025,14:00,Hessen Kassel,Sonnenhof Großaspach,2,2
GRLSW,06/09/2025,14:00,Mainz 05 II,SG Barockstadt Fulda Lehnerz,2,2
GRLSW,06/09/2025,14:00,TSG Balingen,FSV Frankfurt,0,2
GRLSW,06/09/2025,14:00,TSV Steinbach,Stuttgarter Kickers,0,1
GRLSW,06/12/2025,14:00,Bahlinger SC,Homburg,0,2
GRLSW,06/12/2025,14:00,Freiburg II,Bayern Alzenau,1,3
GRLSW,06/12/2025,14:00,FSV Frankfurt,Sonnenhof Großaspach,1,3
GRLSW,06/12/2025,14:00,Hessen Kassel,Sandhausen,2,3
GRLSW,06/12/2025,14:00,TSG Balingen,SG Barockstadt Fulda Lehnerz,1,2
GRLSW,06/12/2025,14:00,TSV Schott Mainz,Freiberg,0,1
GRLSW,07/03/2026,14:00,Bayern Alzenau,Eintracht Trier,2,0
GRLSW,07/03/2026,14:00,Freiberg,FCA Walldorf,2,0
GRLSW,07/03/2026,14:00,FSV Frankfurt,TSG Balingen,2,3
GRLSW,07/03/2026,14:00,Sandhausen,Bahlinger SC,1,1
GRLSW,07/03/2026,14:00,SG Barockstadt Fulda Lehnerz,Mainz 05 II,2,1
GRLSW,07/03/2026,14:00,Sonnenhof Großaspach,Hessen Kassel,1,0
GRLSW,07/03/2026,14:00,Stuttgarter Kickers,TSV Steinbach,4,1
GRLSW,07/03/2026,14:00,TSV Schott Mainz,Freiburg II,0,3
GRLSW,07/09/2025,14:00,Freiburg II,TSV Schott Mainz,3,3
GRLSW,07/11/2025,19:00,Kickers Offenbach,Freiburg II,1,1
GRLSW,07/11/2025,19:00,TSV Steinbach,Hessen Kassel,1,2
GRLSW,08/03/2026,14:00,Homburg,Kickers Offenbach,1,1
GRLSW,08/08/2025,19:00,Kickers Offenbach,Bayern Alzenau,1,0
GRLSW,08/11/2025,14:00,Bayern Alzenau,Homburg,1,1
GRLSW,08/11/2025,14:00,Eintracht Trier,Bahlinger SC,2,1
GRLSW,08/11/2025,14:00,Sandhausen,Freiberg,1,0
GRLSW,08/11/2025,14:00,SG Barockstadt Fulda Lehnerz,Sonnenhof Großaspach,1,2
GRLSW,08/11/2025,14:00,Stuttgarter Kickers,FCA Walldorf,2,1
GRLSW,08/11/2025,14:00,TSG Balingen,TSV Schott Mainz,4,1
GRLSW,09/05/2026,14:00,Bahlinger SC,Eintracht Trier,2,2
GRLSW,09/05/2026,14:00,FCA Walldorf,Stuttgarter Kickers,0,1
GRLSW,09/05/2026,14:00,Freiberg,Sandhausen,1,2
GRLSW,09/05/2026,14:00,Freiburg II,Kickers Offenbach,1,3
GRLSW,09/05/2026,14:00,FSV Frankfurt,Mainz 05 II,1,1
GRLSW,09/05/2026,14:00,Hessen Kassel,TSV Steinbach,2,0
GRLSW,09/05/2026,14:00,Homburg,Bayern Alzenau,5,2
GRLSW,09/05/2026,14:00,Sonnenhof Großaspach,SG Barockstadt Fulda Lehnerz,0,2
GRLSW,09/05/2026,15:00,TSV Schott Mainz,TSG Balingen,2,3
GRLSW,09/08/2025,14:00,Eintracht Trier,SG Barockstadt Fulda Lehnerz,3,2
GRLSW,09/08/2025,14:00,FCA Walldorf,Sonnenhof Großaspach,1,4
GRLSW,09/08/2025,14:00,FSV Frankfurt,Freiberg,1,3
GRLSW,09/08/2025,14:00,Hessen Kassel,Mainz 05 II,3,0
GRLSW,09/08/2025,14:00,TSG Balingen,TSV Steinbach,0,3
GRLSW,09/08/2025,14:00,TSV Schott Mainz,Bahlinger SC,1,3
GRLSW,09/11/2025,14:00,Mainz 05 II,FSV Frankfurt,0,1
GRLSW,10/04/2026,19:00,SG Barockstadt Fulda Lehnerz,Bayern Alzenau,3,1
GRLSW,10/04/2026,19:00,Sonnenhof Großaspach,TSV Schott Mainz,2,1
