Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
I1,04/09/2026,20:45,Genoa,Como,1,4
I1,05/09/2026,15:00,Fiorentina,Torino,1,2
I1,05/09/2026,18:00,Inter,Napoli,3,2
I1,05/09/2026,20:45,Roma,Atalanta,2,1
I1,06/09/2026,15:00,Frosinone,Venezia,3,2
I1,06/09/2026,15:00,Parma,Monza,1,1
I1,06/09/2026,18:00,Bologna,Sassuolo,2,2
I1,06/09/2026,20:45,Juventus,Milan,1,1
I1,07/09/2026,18:30,Cagliari,Lecce,1,0
I1,07/09/2026,20:45,Udinese,Lazio,1,2
I1,11/09/2026,20:45,Venezia,Fiorentina,2,4
I1,12/09/2026,15:00,Genoa,Frosinone,1,1
I1,12/09/2026,18:00,Lazio,Milan,2,2
I1,12/09/2026,20:45,Atalanta,Cagliari,1,2
I1,13/09/2026,15:00,Lecce,Monza,3,2
I1,13/09/2026,18:00,Napoli,Bologna,1,0
I1,13/09/2026,20:45,Sassuolo,Juventus,3,2
I1,14/09/2026,18:30,Como,Parma,2,1
I1,14/09/2026,18:30,Torino,Roma,0,2
I1,14/09/2026,20:45,Inter,Udinese,5,3
I1,18/09/2026,20:45,Monza,Sassuolo,2,1
I1,19/09/2026,15:00,Bologna,Torino,1,1
I1,19/09/2026,15:00,Udinese,Cagliari,0,1
I1,19/09/2026,18:00,Roma,Inter,2,2
I1,19/09/2026,20:45,Venezia,Lazio,0,2
I1,20/09/2026,12:30,Fiorentina,Napoli,1,1
I1,20/09/2026,15:00,Frosinone,Como,2,0
I1,20/09/2026,15:00,Parma,Genoa,2,1
I1,20/09/2026,18:00,Juventus,Atalanta,2,0
I1,20/09/2026,20:45,Milan,Lecce,3,0
I1,22/08/2026,18:30,Inter,Monza,4,1
I1,22/08/2026,18:30,Udinese,Como,1,1
I1,22/08/2026,20:45,Genoa,Napoli,0,2
I1,22/08/2026,20:45,Parma,Cagliari,0,1
I1,23/08/2026,18:30,Frosinone,Juventus,0,1
I1,23/08/2026,18:30,Venezia,Lecce,0,2
I1,23/08/2026,20:45,Atalanta,Sassuolo,2,1
I1,23/08/2026,20:45,Torino,Milan,1,2
I1,24/08/2026,18:30,Bologna,Lazio,0,1
I1,24/08/2026,20:45,Roma,Fiorentina,4,0
I1,28/08/2026,20:45,Milan,Venezia,2,0
I1,29/08/2026,18:30,Fiorentina,Frosinone,0,3
I1,29/08/2026,18:30,Monza,Udinese,2,3
I1,29/08/2026,18:30,Sassuolo,Torino,2,1
I1,29/08/2026,20:45,Juventus,Parma,2,0
I1,30/08/2026,18:30,Napoli,Como,1,2
I1,30/08/2026,20:45,Cagliari,Inter,0,1
I1,30/08/2026,20:45,Lazio,Genoa,1,0
I1,31/08/2026,18:30,Lecce,Roma,0,4
I1,31/08/2026,20:45,Atalanta,Bologna,1,0
