Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
IRL0,01/05/2026,20:45,Drogheda United,Sligo Rovers,1,0
IRL0,01/05/2026,20:45,Dundalk,Shelbourne,1,2
IRL0,01/05/2026,20:45,Galway United FC,St. Patrick's Athletic,2,2
IRL0,01/05/2026,21:00,Bohemian FC,Derry City,1,1
IRL0,01/05/2026,21:00,Shamrock Rovers,Waterford FC,1,0
IRL0,02/03/2026,20:45,St. Patrick's Athletic,Galway United FC,1,0
IRL0,02/08/2026,16:00,Waterford FC,Shelbourne,1,0
IRL0,02/08/2026,18:00,St. Patrick's Athletic,Derry City,1,1
IRL0,02/08/2026,20:00,Bohemian FC,Galway United FC,1,1
IRL0,03/04/2026,20:45,Drogheda United,Bohemian FC,0,0
IRL0,03/04/2026,20:45,Shelbourne,Dundalk,2,3
IRL0,03/04/2026,20:45,St. Patrick's Athletic,Sligo Rovers,4,1
IRL0,03/04/2026,20:45,Waterford FC,Shamrock Rovers,1,1
IRL0,03/04/2026,21:00,Galway United FC,Derry City,2,1
IRL0,03/07/2026,20:45,Derry City,Waterford FC,2,4
IRL0,03/07/2026,20:45,Drogheda United,Bohemian FC,0,2
IRL0,03/07/2026,20:45,Sligo Rovers,Shamrock Rovers,1,2
IRL0,03/07/2026,20:45,St. Patrick's Athletic,Galway United FC,3,0
IRL0,03/07/2026,21:00,Shelbourne,Dundalk,2,1
IRL0,04/05/2026,18:00,Bohemian FC,Shelbourne,2,2
IRL0,04/05/2026,18:00,Derry City,Galway United FC,1,1
IRL0,04/05/2026,18:00,Shamrock Rovers,Drogheda United,4,1
IRL0,04/05/2026,18:00,Sligo Rovers,St. Patrick's Athletic,1,1
IRL0,04/05/2026,18:00,Waterford FC,Dundalk,3,3
IRL0,04/09/2026,21:00,Shamrock Rovers,Shelbourne,0,0
IRL0,06/02/2026,20:45,Galway United FC,Drogheda United,0,1
IRL0,06/02/2026,20:45,Waterford FC,Shelbourne,1,1
IRL0,06/02/2026,21:00,Derry City,Sligo Rovers,2,1
IRL0,06/03/2026,20:45,Galway United FC,Dundalk,2,2
IRL0,06/03/2026,20:45,Waterford FC,Bohemian FC,0,1
IRL0,06/03/2026,21:00,Shamrock Rovers,Derry City,1,0
IRL0,06/03/2026,21:00,Shelbourne,St. Patrick's Athletic,2,3
IRL0,06/04/2026,18:00,Bohemian FC,Waterford FC,1,1
IRL0,06/04/2026,18:00,Drogheda United,Galway United FC,2,3
IRL0,06/04/2026,18:00,Dundalk,St. Patrick's Athletic,2,0
IRL0,06/04/2026,18:00,Shamrock Rovers,Shelbourne,3,2
IRL0,06/04/2026,18:00,Sligo Rovers,Derry City,0,0
IRL0,07/03/2026,20:45,Sligo Rovers,Drogheda United,2,1
IRL0,07/08/2026,20:45,Derry City,Sligo Rovers,2,0
IRL0,07/08/2026,20:45,Galway United FC,Drogheda United,0,0
IRL0,07/08/2026,21:00,Shamrock Rovers,Dundalk,3,2
IRL0,08/02/2026,15:00,Bohemian FC,St. Patrick's Athletic,0,0
IRL0,08/05/2026,20:45,Drogheda United,Derry City,1,0
IRL0,08/05/2026,20:45,Dundalk,Bohemian FC,1,3
IRL0,08/05/2026,20:45,Galway United FC,Shamrock Rovers,1,3
IRL0,08/05/2026,20:45,Shelbourne,Sligo Rovers,0,0
IRL0,08/05/2026,21:00,St. Patrick's Athletic,Waterford FC,4,1
IRL0,09/03/2026,20:45,Shelbourne,Shamrock Rovers,2,2
IRL0,09/08/2026,16:00,Waterford FC,Bohemian FC,3,1
IRL0,09/08/2026,18:00,Shelbourne,St. Patrick's Athletic,1,2
IRL0,10/04/2026,20:45,Bohemian FC,Sligo Rovers,1,2
IRL0,10/04/2026,20:45,Dundalk,Derry City,2,2
IRL0,10/04/2026,20:45,Galway United FC,Shelbourne,0,0
IRL0,10/04/2026,20:45,Waterford FC,Drogheda United,0,0
IRL0,10/04/2026,21:00,St. Patrick's Athletic,Shamrock Rovers,0,1
IRL0,10/07/2026,20:45,Dundalk,Drogheda United,1,2
IRL0,10/07/2026,21:00,Waterford FC,St. Patrick's Athletic,1,1
IRL0,11/07/2026,18:00,Galway United FC,Sligo Rovers,3,2
IRL0,11/09/2026,20:45,Drogheda United,Sligo Rovers,2,0
IRL0,11/09/2026,20:45,Galway United FC,Bohemian FC,2,3
IRL0,11/09/2026,20:45,Shelbourne,Derry City,0,1
IRL0,11/09/2026,20:45,Waterford FC,Dundalk,1,1
IRL0,11/09/2026,21:00,St. Patrick's Athletic,Shamrock Rovers,2,0
IRL0,12/06/2026,20:45,Derry City,Bohemian FC,4,1
IRL0,12/06/2026,20:45,Galway United FC,Dundalk,0,1
IRL0,12/06/2026,20:45,St. Patrick's Athletic,Drogheda United,2,0
IRL0,12/06/2026,20:45,Waterford FC,Sligo Rovers,4,0
IRL0,12/06/2026,21:00,Shelbourne,Shamrock Rovers,2,1
IRL0,13/02/2026,20:45,Derry City,Dundalk,2,2
IRL0,13/02/2026,20:45,St. Patrick's Athletic,Galway United FC,0,0
IRL0,13/02/2026,21:00,Drogheda United,Waterford FC,2,0
IRL0,13/02/2026,21:00,Shelbourne,Shamrock Rovers,0,0
IRL0,13/03/2026,20:45,Bohemian FC,Galway United FC,1,0
IRL0,13/03/2026,20:45,Derry City,Shelbourne,1,2
IRL0,13/03/2026,20:45,Dundalk,Waterford FC,5,0
IRL0,13/03/2026,20:45,St. Patrick's Athletic,Drogheda United,4,1
IRL0,13/03/2026,21:00,Sligo Rovers,Shamrock Rovers,0,2
IRL0,14/02/2026,20:45,Sligo Rovers,Bohemian FC,0,4
IRL0,14/09/2026,20:45,Dundalk,St. Patrick's Athletic,0,4
IRL0,14/09/2026,20:45,Shelbourne,Drogheda United,1,2
IRL0,14/09/2026,20:45,Sligo Rovers,Galway United FC,1,3
IRL0,14/09/2026,20:45,Waterford FC,Derry City,2,2
IRL0,15/05/2026,20:45,Bohemian FC,Drogheda United,2,1
IRL0,15/05/2026,20:45,St. Patrick's Athletic,Shelbourne,0,1
IRL0,15/05/2026,20:45,Waterford FC,Derry City,2,2
IRL0,15/05/2026,21:00,Dundalk,Shamrock Rovers,1,0
IRL0,16/03/2026,20:45,Drogheda United,Shamrock Rovers,0,0
IRL0,16/03/2026,20:45,Dundalk,Sligo Rovers,1,0
IRL0,16/03/2026,20:45,Shelbourne,Bohemian FC,0,0
IRL0,16/03/2026,20:45,St. Patrick's Athletic,Derry City,0,0
IRL0,16/03/2026,21:00,Galway United FC,Waterford FC,4,3
IRL0,16/05/2026,20:45,Sligo Rovers,Galway United FC,1,4
IRL0,17/04/2026,20:45,Drogheda United,St. Patrick's Athletic,1,3
IRL0,17/04/2026,20:45,Dundalk,Galway United FC,2,1
IRL0,17/04/2026,20:45,Shelbourne,Derry City,1,2
IRL0,17/04/2026,21:00,Shamrock Rovers,Bohemian FC,2,1
IRL0,18/04/2026,20:45,Sligo Rovers,Waterford FC,2,0
IRL0,18/05/2026,20:45,Waterford FC,Drogheda United,2,1
IRL0,18/09/2026,20:45,Derry City,Galway United FC,1,0
IRL0,18/09/2026,20:45,Dundalk,Shelbourne,2,3
IRL0,18/09/2026,21:00,Bohemian FC,Drogheda United,2,1
IRL0,18/09/2026,21:00,Shamrock Rovers,Waterford FC,3,2
IRL0,19/06/2026,20:45,Drogheda United,Shelbourne,2,2
IRL0,19/06/2026,20:45,Galway United FC,Derry City,2,1
IRL0,19/06/2026,20:45,St. Patrick's Athletic,Sligo Rovers,2,0
IRL0,19/06/2026,20:45,Waterford FC,Shamrock Rovers,0,2
IRL0,19/06/2026,21:00,Bohemian FC,Dundalk,1,2
IRL0,19/09/2026,20:45,Sligo Rovers,St. Patrick's Athletic,0,1
IRL0,20/02/2026,20:45,Derry City,Bohemian FC,0,1
IRL0,20/02/2026,20:45,Shelbourne,Galway United FC,1,1
IRL0,20/02/2026,20:45,Waterford FC,Sligo Rovers,0,0
IRL0,20/02/2026,21:00,Dundalk,Drogheda United,1,1
IRL0,20/02/2026,21:00,Shamrock Rovers,St. Patrick's Athletic,2,0
IRL0,20/03/2026,20:45,Derry City,Drogheda United,2,2
IRL0,20/03/2026,20:45,Waterford FC,St. Patrick's Athletic,0,2
IRL0,20/03/2026,21:00,Bohemian FC,Dundalk,1,1
IRL0,20/03/2026,21:00,Shamrock Rovers,Galway United FC,2,0
IRL0,21/03/2026,20:45,Sligo Rovers,Shelbourne,0,1
IRL0,21/08/2026,20:45,Bohemian FC,Derry City,5,3
IRL0,21/08/2026,20:45,Drogheda United,St. Patrick's Athletic,0,2
IRL0,21/08/2026,20:45,Dundalk,Galway United FC,1,2
IRL0,21/08/2026,21:00,Sligo Rovers,Waterford FC,0,0
IRL0,22/05/2026,20:45,Derry City,St. Patrick's Athletic,0,0
IRL0,22/05/2026,20:45,Galway United FC,Bohemian FC,2,4
IRL0,22/05/2026,20:45,Shelbourne,Waterford FC,2,1
IRL0,22/05/2026,21:00,Drogheda United,Dundalk,1,1
IRL0,22/05/2026,21:00,Shamrock Rovers,Sligo Rovers,1,2
IRL0,22/06/2026,20:45,Shelbourne,Bohemian FC,0,3
IRL0,22/06/2026,21:00,Shamrock Rovers,Derry City,1,1
IRL0,23/02/2026,21:00,Shamrock Rovers,Dundalk,1,1
IRL0,24/04/2026,20:45,Shelbourne,Drogheda United,3,4
IRL0,24/04/2026,20:45,St. Patrick's Athletic,Bohemian FC,3,1
IRL0,24/04/2026,20:45,Waterford FC,Galway United FC,1,1
IRL0,24/04/2026,21:00,Derry City,Shamrock Rovers,1,0
IRL0,24/07/2026,21:00,St. Patrick's Athletic,Dundalk,1,1
IRL0,25/04/2026,20:45,Sligo Rovers,Dundalk,2,0
IRL0,25/05/2026,20:45,Derry City,Shelbourne,0,0
IRL0,25/05/2026,21:00,Bohemian FC,Shamrock Rovers,1,2
IRL0,25/07/2026,18:00,Galway United FC,Waterford FC,0,0
IRL0,25/07/2026,20:45,Sligo Rovers,Drogheda United,2,2
IRL0,26/06/2026,20:30,Shamrock Rovers,Galway United FC,3,1
