Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
J2,05/09/2026,11:30,Fujieda MYFC,Vanraure Hachinohe,0,0
J2,05/09/2026,12:00,Montedio Yamagata,Ventforet Kofu,1,2
J2,05/09/2026,12:00,Sagan Tosu,Tegevajaro Miyazaki,2,0
J2,05/09/2026,12:00,Shonan Bellmare,Vegalta Sendai,1,3
J2,05/09/2026,12:00,Tokushima Vortis,Iwaki FC,1,0
J2,06/09/2026,06:00,Hokkaido Consadole Sapporo,Tochigi City FC,1,4
J2,06/09/2026,11:00,Blaublitz Akita,RB Omiya Ardija,0,0
J2,06/09/2026,11:00,Yokohama FC,Albirex Niigata,5,0
J2,06/09/2026,12:00,Jubilo Iwata,Kataller Toyama,0,1
J2,06/09/2026,12:00,Oita Trinita,Imabari FC,1,1
J2,08/08/2026,07:45,Hokkaido Consadole Sapporo,Tokushima Vortis,2,0
J2,08/08/2026,11:30,Fujieda MYFC,Vegalta Sendai,2,0
J2,08/08/2026,11:30,Vanraure Hachinohe,Kataller Toyama,2,0
J2,08/08/2026,12:00,Jubilo Iwata,Blaublitz Akita,1,1
J2,08/08/2026,12:00,Oita Trinita,Shonan Bellmare,0,1
J2,08/08/2026,12:00,RB Omiya Ardija,Albirex Niigata,1,0
J2,08/08/2026,12:00,Tegevajaro Miyazaki,Yokohama FC,0,1
J2,08/08/2026,12:30,Sagan Tosu,Ventforet Kofu,2,0
J2,09/08/2026,11:00,Iwaki FC,Imabari FC,2,1
J2,09/08/2026,12:00,Montedio Yamagata,Tochigi City FC,2,0
J2,12/09/2026,11:00,Blaublitz Akita,Tokushima Vortis,4,1
J2,12/09/2026,11:00,Iwaki FC,Yokohama FC,2,0
J2,12/09/2026,11:30,Kataller Toyama,Tochigi City FC,0,0
J2,12/09/2026,11:30,Vanraure Hachinohe,Shonan Bellmare,0,1
J2,12/09/2026,12:00,Imabari FC,Sagan Tosu,1,0
J2,12/09/2026,12:00,RB Omiya Ardija,Oita Trinita,0,0
J2,12/09/2026,12:00,Tegevajaro Miyazaki,Fujieda MYFC,3,2
J2,12/09/2026,12:00,Ventforet Kofu,Jubilo Iwata,0,1
J2,13/09/2026,11:00,Albirex Niigata,Montedio Yamagata,1,0
J2,13/09/2026,11:00,Vegalta Sendai,Hokkaido Consadole Sapporo,1,1
J2,15/08/2026,11:00,Blaublitz Akita,Kataller Toyama,0,4
J2,15/08/2026,11:00,Tochigi City FC,Vanraure Hachinohe,5,0
J2,15/08/2026,11:30,Fujieda MYFC,Iwaki FC,3,1
J2,15/08/2026,12:00,Albirex Niigata,Hokkaido Consadole Sapporo,2,1
J2,15/08/2026,12:00,Imabari FC,RB Omiya Ardija,2,3
J2,15/08/2026,12:00,Shonan Bellmare,Montedio Yamagata,1,0
J2,15/08/2026,12:00,Vegalta Sendai,Oita Trinita,0,0
J2,15/08/2026,12:00,Ventforet Kofu,Tegevajaro Miyazaki,1,1
J2,16/08/2026,11:00,Yokohama FC,Jubilo Iwata,3,1
J2,16/08/2026,12:00,Tokushima Vortis,Sagan Tosu,0,0
J2,18/09/2026,06:00,Vanraure Hachinohe,Tegevajaro Miyazaki,0,3
J2,19/09/2026,07:00,Hokkaido Consadole Sapporo,Oita Trinita,1,1
J2,19/09/2026,11:30,Fujieda MYFC,RB Omiya Ardija,1,1
J2,19/09/2026,12:00,Albirex Niigata,Jubilo Iwata,2,1
J2,19/09/2026,12:00,Montedio Yamagata,Kataller Toyama,0,2
J2,19/09/2026,12:00,Sagan Tosu,Iwaki FC,1,3
J2,19/09/2026,12:00,Shonan Bellmare,Blaublitz Akita,1,1
J2,19/09/2026,12:00,Ventforet Kofu,Tokushima Vortis,0,1
J2,19/09/2026,12:00,Yokohama FC,Imabari FC,2,1
J2,20/09/2026,10:00,Tochigi City FC,Vegalta Sendai,1,3
J2,22/08/2026,08:00,Hokkaido Consadole Sapporo,RB Omiya Ardija,1,4
J2,22/08/2026,10:00,Vanraure Hachinohe,Vegalta Sendai,0,2
J2,22/08/2026,11:00,Blaublitz Akita,Ventforet Kofu,3,0
J2,22/08/2026,11:30,Kataller Toyama,Imabari FC,4,0
J2,22/08/2026,12:00,Albirex Niigata,Fujieda MYFC,1,0
J2,22/08/2026,12:00,Jubilo Iwata,Tokushima Vortis,2,1
J2,22/08/2026,12:00,Montedio Yamagata,Yokohama FC,2,0
J2,22/08/2026,12:00,Oita Trinita,Iwaki FC,4,1
J2,22/08/2026,12:00,Sagan Tosu,Tochigi City FC,1,3
J2,22/08/2026,12:00,Tegevajaro Miyazaki,Shonan Bellmare,0,0
J2,29/08/2026,11:00,Iwaki FC,Albirex Niigata,2,3
J2,29/08/2026,11:00,Tochigi City FC,Jubilo Iwata,1,3
J2,29/08/2026,11:30,Kataller Toyama,Fujieda MYFC,2,3
J2,29/08/2026,11:30,Vanraure Hachinohe,Blaublitz Akita,1,0
J2,29/08/2026,12:00,Imabari FC,Montedio Yamagata,0,3
J2,29/08/2026,12:00,RB Omiya Ardija,Shonan Bellmare,2,2
J2,29/08/2026,12:00,Tokushima Vortis,Oita Trinita,1,0
J2,29/08/2026,12:00,Vegalta Sendai,Tegevajaro Miyazaki,4,2
J2,29/08/2026,12:00,Ventforet Kofu,Hokkaido Consadole Sapporo,2,1
J2,29/08/2026,12:00,Yokohama FC,Sagan Tosu,2,2
