Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
MEX2,01/02/2026,02:00,Atletico Morelia,Cancun FC,0,1
MEX2,01/02/2026,02:00,Irapuato,Atlante,0,0
MEX2,01/03/2026,02:00,Atletico Morelia,Atletico La Paz,1,0
MEX2,01/03/2026,02:00,Cancun FC,Jaiba Brava del Tampico-Madero,1,2
MEX2,01/03/2026,19:00,Leones Negros,Atlante,1,1
MEX2,01/03/2026,23:00,Tlaxcala FC,Tepatitlan FC,1,0
MEX2,01/05/2026,03:00,Mineros de Zacatecas,Tepatitlan FC,1,1
MEX2,01/05/2026,05:05,Jaiba Brava del Tampico-Madero,Cancun FC,2,1
MEX2,01/11/2025,02:00,Correcaminos de la UAT,Mineros de Zacatecas,0,2
MEX2,01/11/2025,02:00,Irapuato,Tapatio,2,1
MEX2,02/08/2025,02:00,Irapuato,Venados FC,4,1
MEX2,02/08/2025,03:00,Correcaminos de la UAT,Atletico Morelia,1,1
MEX2,02/11/2025,00:00,Tepatitlan FC,Atletico La Paz,0,1
MEX2,02/11/2025,02:00,Jaiba Brava del Tampico-Madero,Alebrijes Oaxaca,3,1
MEX2,02/11/2025,02:00,Tlaxcala FC,Atletico Morelia,0,1
MEX2,02/11/2025,19:00,Leones Negros,Venados FC,1,0
MEX2,03/08/2025,02:00,Atlante,Tepatitlan FC,1,1
MEX2,03/08/2025,03:00,Jaiba Brava del Tampico-Madero,Leones Negros,1,0
MEX2,03/08/2025,05:00,Dorados,Cancun FC,0,1
MEX2,03/08/2025,20:00,Tlaxcala FC,Mineros de Zacatecas,1,1
MEX2,03/11/2025,00:00,Atlante,Cancun FC,1,1
MEX2,04/04/2026,01:00,Tlaxcala FC,Dorados,2,0
MEX2,04/04/2026,03:00,Correcaminos de la UAT,Cancun FC,1,3
MEX2,04/04/2026,03:00,Irapuato,Atletico La Paz,3,1
MEX2,04/04/2026,04:00,Tepatitlan FC,Alebrijes Oaxaca,2,0
MEX2,04/05/2026,01:00,Cancun FC,Jaiba Brava del Tampico-Madero,1,1
MEX2,04/05/2026,03:05,Tepatitlan FC,Mineros de Zacatecas,1,1
MEX2,04/08/2025,01:00,Tapatio,Atletico La Paz,2,0
MEX2,04/10/2025,01:00,Tapatio,Alebrijes Oaxaca,0,1
MEX2,04/10/2025,03:00,Irapuato,Correcaminos de la UAT,4,1
MEX2,04/10/2025,03:00,Tepatitlan FC,Atletico Morelia,3,2
MEX2,04/10/2025,05:00,Atletico La Paz,Cancun FC,2,4
MEX2,05/03/2026,04:00,Atletico La Paz,Leones Negros,3,0
MEX2,05/04/2026,01:00,Atlante,Mineros de Zacatecas,3,1
MEX2,05/04/2026,03:00,Leones Negros,Atletico Morelia,2,0
MEX2,05/09/2025,03:00,Venados FC,Atletico Morelia,2,2
MEX2,05/10/2025,02:00,Atlante,Tlaxcala FC,3,0
MEX2,05/10/2025,03:00,Leones Negros,Dorados,2,0
MEX2,06/04/2026,01:00,Jaiba Brava del Tampico-Madero,Venados FC,1,1
MEX2,06/09/2025,03:00,Mineros de Zacatecas,Cancun FC,0,0
MEX2,06/09/2025,05:00,Dorados,Irapuato,0,1
MEX2,06/09/2025,20:00,Tlaxcala FC,Alebrijes Oaxaca,2,1
MEX2,07/02/2026,02:00,Tepatitlan FC,Correcaminos de la UAT,2,1
MEX2,07/02/2026,02:00,Venados FC,Alebrijes Oaxaca,3,3
MEX2,07/02/2026,04:00,Mineros de Zacatecas,Atletico Morelia,1,1
MEX2,07/03/2026,00:00,Tapatio,Cancun FC,1,2
MEX2,07/03/2026,02:00,Venados FC,Correcaminos de la UAT,0,1
MEX2,07/09/2025,02:00,Atlante,Correcaminos de la UAT,5,1
MEX2,07/09/2025,05:00,Jaiba Brava del Tampico-Madero,Tapatio,2,1
MEX2,07/11/2025,03:00,Venados FC,Tlaxcala FC,5,1
MEX2,07/12/2025,02:00,Jaiba Brava del Tampico-Madero,Irapuato,1,0
MEX2,08/02/2026,00:00,Atlante,Tapatio,1,3
MEX2,08/02/2026,02:00,Jaiba Brava del Tampico-Madero,Irapuato,0,1
MEX2,08/02/2026,04:00,Dorados,Atletico La Paz,2,2
MEX2,08/02/2026,19:00,Tlaxcala FC,Leones Negros,5,2
MEX2,08/03/2026,00:00,Atlante,Atletico Morelia,2,1
MEX2,08/03/2026,02:00,Irapuato,Alebrijes Oaxaca,6,2
MEX2,08/03/2026,04:00,Atletico La Paz,Tlaxcala FC,2,0
MEX2,08/04/2026,01:00,Tapatio,Tlaxcala FC,3,0
MEX2,08/09/2025,01:00,Tepatitlan FC,Leones Negros,1,1
MEX2,08/11/2025,02:00,Alebrijes Oaxaca,Correcaminos de la UAT,1,1
MEX2,08/11/2025,02:00,Mineros de Zacatecas,Irapuato,2,2
MEX2,08/11/2025,04:00,Atletico La Paz,Atlante,0,6
MEX2,09/03/2026,00:00,Jaiba Brava del Tampico-Madero,Dorados,2,0
MEX2,09/03/2026,00:00,Tepatitlan FC,Mineros de Zacatecas,4,0
MEX2,09/08/2025,03:00,Mineros de Zacatecas,Dorados,3,0
MEX2,09/08/2025,03:00,Venados FC,Tapatio,1,3
MEX2,09/08/2025,05:00,Atletico La Paz,Correcaminos de la UAT,1,1
MEX2,09/11/2025,02:00,Cancun FC,Leones Negros,0,1
MEX2,09/11/2025,04:00,Atletico Morelia,Jaiba Brava del Tampico-Madero,0,0
MEX2,10/01/2026,02:00,Mineros de Zacatecas,Tlaxcala FC,4,1
MEX2,10/01/2026,02:00,Venados FC,Irapuato,4,1
MEX2,10/01/2026,04:00,Atletico La Paz,Tapatio,2,2
MEX2,10/05/2026,03:00,Jaiba Brava del Tampico-Madero,Tepatitlan FC,0,0
MEX2,10/08/2025,00:00,Atletico Morelia,Alebrijes Oaxaca,3,1
MEX2,10/08/2025,01:00,Tepatitlan FC,Jaiba Brava del Tampico-Madero,0,0
MEX2,10/08/2025,03:00,Cancun FC,Tlaxcala FC,3,0
MEX2,10/08/2025,20:00,Leones Negros,Irapuato,4,2
MEX2,10/11/2025,00:00,Tapatio,Dorados,4,1
MEX2,11/01/2026,02:00,Atletico Morelia,Correcaminos de la UAT,3,0
MEX2,11/01/2026,02:00,Cancun FC,Dorados,3,1
MEX2,11/01/2026,02:00,Tepatitlan FC,Atlante,1,1
MEX2,11/01/2026,19:00,Leones Negros,Jaiba Brava del Tampico-Madero,4,1
MEX2,11/02/2026,01:00,Venados FC,Cancun FC,2,0
MEX2,11/04/2026,03:00,Alebrijes Oaxaca,Jaiba Brava del Tampico-Madero,1,2
MEX2,11/04/2026,05:00,Atletico La Paz,Tepatitlan FC,1,1
MEX2,11/10/2025,03:00,Alebrijes Oaxaca,Atletico La Paz,1,1
MEX2,11/10/2025,03:00,Cancun FC,Irapuato,0,0
MEX2,11/10/2025,04:00,Venados FC,Tepatitlan FC,1,0
MEX2,11/10/2025,20:00,Tlaxcala FC,Jaiba Brava del Tampico-Madero,1,1
MEX2,12/04/2026,01:00,Tapatio,Irapuato,1,2
MEX2,12/04/2026,03:00,Atletico Morelia,Tlaxcala FC,0,0
MEX2,12/04/2026,03:00,Cancun FC,Atlante,2,1
MEX2,12/04/2026,03:00,Venados FC,Leones Negros,2,1
MEX2,12/10/2025,03:00,Atletico Morelia,Tapatio,0,0
MEX2,12/10/2025,03:00,Mineros de Zacatecas,Leones Negros,2,0
MEX2,12/10/2025,05:00,Dorados,Atlante,0,0
MEX2,13/04/2026,01:00,Mineros de Zacatecas,Correcaminos de la UAT,3,1
MEX2,13/09/2025,03:00,Correcaminos de la UAT,Jaiba Brava del Tampico-Madero,1,2
MEX2,13/09/2025,20:00,Tlaxcala FC,Tapatio,1,0
MEX2,13/11/2025,02:00,Tepatitlan FC,Atlante,1,0
MEX2,13/11/2025,04:00,Mineros de Zacatecas,Irapuato,1,1
MEX2,14/02/2026,00:00,Tapatio,Jaiba Brava del Tampico-Madero,3,1
MEX2,14/02/2026,02:00,Alebrijes Oaxaca,Tlaxcala FC,0,0
MEX2,14/02/2026,02:00,Correcaminos de la UAT,Atlante,1,1
MEX2,14/02/2026,04:00,Irapuato,Dorados,5,0
MEX2,14/03/2026,00:00,Alebrijes Oaxaca,Tapatio,4,3
MEX2,14/03/2026,02:00,Correcaminos de la UAT,Irapuato,2,1
MEX2,14/03/2026,02:00,Mineros de Zacatecas,Jaiba Brava del Tampico-Madero,1,0
MEX2,14/09/2025,01:00,Alebrijes Oaxaca,Atlante,0,3
