Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
N1,04/09/2026,20:00,Sparta Rotterdam,PEC Zwolle,2,2
N1,05/09/2026,16:30,NEC Nijmegen,Feyenoord,1,3
N1,05/09/2026,20:00,Ajax,PSV Eindhoven,1,3
N1,05/09/2026,21:00,Willem II,Excelsior,0,3
N1,06/09/2026,12:15,FC Groningen,FC Twente,2,2
N1,06/09/2026,14:30,SC Heerenveen,AZ Alkmaar,2,3
N1,06/09/2026,14:30,Telstar,Cambuur,2,2
N1,06/09/2026,16:45,ADO Den Haag,Fortuna Sittard,2,3
N1,07/08/2026,20:00,Cambuur,Excelsior,0,4
N1,08/08/2026,16:30,NEC Nijmegen,Telstar,1,2
N1,08/08/2026,18:45,Go Ahead Eagles,Willem II,4,1
N1,08/08/2026,20:00,PSV Eindhoven,Fortuna Sittard,2,2
N1,08/08/2026,21:00,AZ Alkmaar,ADO Den Haag,2,0
N1,08/09/2026,14:00,FC Utrecht,Go Ahead Eagles,3,3
N1,08/09/2026,18:45,NEC Nijmegen,Excelsior,2,2
N1,09/08/2026,12:15,Sparta Rotterdam,Feyenoord,0,1
N1,09/08/2026,14:30,FC Groningen,FC Utrecht,2,1
N1,09/08/2026,14:30,PEC Zwolle,Ajax,0,2
N1,09/08/2026,16:45,SC Heerenveen,FC Twente,1,0
N1,09/09/2026,18:45,FC Twente,Telstar,1,0
N1,11/09/2026,20:00,AZ Alkmaar,Willem II,1,1
N1,12/09/2026,16:30,FC Twente,ADO Den Haag,2,0
N1,12/09/2026,18:45,Go Ahead Eagles,FC Groningen,1,1
N1,12/09/2026,20:00,Fortuna Sittard,Ajax,1,5
N1,12/09/2026,21:00,Cambuur,NEC Nijmegen,3,0
N1,13/09/2026,12:15,Excelsior,FC Utrecht,1,2
N1,13/09/2026,14:30,SC Heerenveen,Telstar,0,0
N1,13/09/2026,16:45,PEC Zwolle,Feyenoord,0,7
N1,13/09/2026,20:00,PSV Eindhoven,Sparta Rotterdam,4,1
N1,14/08/2026,20:00,Telstar,Sparta Rotterdam,1,3
N1,15/08/2026,16:30,Willem II,NEC Nijmegen,1,4
N1,15/08/2026,18:45,FC Utrecht,AZ Alkmaar,1,4
N1,15/08/2026,20:00,Excelsior,PSV Eindhoven,1,2
N1,15/08/2026,21:00,Fortuna Sittard,Cambuur,3,1
N1,15/09/2026,20:00,Ajax,Willem II,5,1
N1,16/08/2026,12:15,ADO Den Haag,FC Groningen,1,4
N1,16/08/2026,14:30,FC Twente,PEC Zwolle,3,1
N1,16/08/2026,14:30,Feyenoord,Go Ahead Eagles,2,2
N1,16/08/2026,16:45,Ajax,SC Heerenveen,2,2
N1,18/09/2026,20:00,FC Groningen,PEC Zwolle,3,0
N1,19/09/2026,16:30,ADO Den Haag,Cambuur,1,1
N1,19/09/2026,18:45,Sparta Rotterdam,SC Heerenveen,0,4
N1,19/09/2026,20:00,Ajax,Excelsior,2,2
N1,19/09/2026,21:00,Willem II,Fortuna Sittard,0,1
N1,20/09/2026,12:15,Feyenoord,FC Utrecht,5,0
N1,20/09/2026,14:30,AZ Alkmaar,Telstar,1,0
N1,20/09/2026,14:30,FC Twente,PSV Eindhoven,3,2
N1,20/09/2026,16:45,NEC Nijmegen,Go Ahead Eagles,1,1
N1,22/08/2026,16:30,Fortuna Sittard,AZ Alkmaar,0,2
N1,22/08/2026,18:45,Sparta Rotterdam,FC Utrecht,3,3
N1,22/08/2026,20:00,NEC Nijmegen,Excelsior,0,0
N1,22/08/2026,21:00,SC Heerenveen,PEC Zwolle,0,2
N1,23/08/2026,12:15,Go Ahead Eagles,ADO Den Haag,3,1
N1,23/08/2026,14:30,PSV Eindhoven,FC Groningen,5,1
N1,23/08/2026,16:45,Cambuur,Feyenoord,2,5
N1,28/08/2026,20:00,FC Groningen,Fortuna Sittard,2,3
N1,29/08/2026,16:30,Excelsior,Sparta Rotterdam,2,1
N1,29/08/2026,18:45,AZ Alkmaar,Go Ahead Eagles,5,2
N1,29/08/2026,21:00,PEC Zwolle,NEC Nijmegen,1,3
N1,30/08/2026,12:15,FC Utrecht,PSV Eindhoven,1,6
N1,30/08/2026,14:30,Feyenoord,ADO Den Haag,2,2
N1,30/08/2026,14:30,Willem II,SC Heerenveen,2,2
N1,30/08/2026,16:45,Telstar,Ajax,0,4
N1,30/08/2026,20:00,Cambuur,FC Twente,1,4
