Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
NIRP,04/09/2026,20:45,Larne,Glentoran,2,1
NIRP,05/09/2026,16:00,Bangor,Ballymena United,2,2
NIRP,05/09/2026,16:00,Cliftonville,Portadown,3,1
NIRP,05/09/2026,16:00,Limavady,Dungannon Swifts,0,2
NIRP,05/09/2026,16:00,Linfield,Carrick Rangers,1,0
NIRP,05/09/2026,19:00,Coleraine,Crusaders,4,1
NIRP,07/08/2026,20:45,Cliftonville,Crusaders,2,1
NIRP,08/08/2026,16:00,Carrick Rangers,Portadown,1,0
NIRP,08/08/2026,16:00,Dungannon Swifts,Coleraine,1,3
NIRP,08/08/2026,16:00,Glentoran,Limavady,2,0
NIRP,08/08/2026,16:00,Linfield,Ballymena United,0,3
NIRP,08/09/2026,20:45,Larne,Bangor,1,0
NIRP,11/09/2026,20:45,Coleraine,Ballymena United,3,2
NIRP,12/09/2026,16:00,Carrick Rangers,Cliftonville,1,3
NIRP,12/09/2026,16:00,Crusaders,Limavady,1,2
NIRP,12/09/2026,16:00,Glentoran,Bangor,1,1
NIRP,12/09/2026,16:00,Portadown,Larne,0,2
NIRP,12/09/2026,19:00,Dungannon Swifts,Linfield,0,1
NIRP,15/08/2026,16:00,Bangor,Cliftonville,0,3
NIRP,15/08/2026,16:00,Coleraine,Larne,0,0
NIRP,15/08/2026,16:00,Crusaders,Ballymena United,2,1
NIRP,15/08/2026,16:00,Limavady,Carrick Rangers,1,2
NIRP,15/08/2026,16:00,Linfield,Glentoran,2,1
NIRP,15/08/2026,16:00,Portadown,Dungannon Swifts,0,1
NIRP,15/09/2026,20:45,Ballymena United,Carrick Rangers,1,1
NIRP,15/09/2026,20:45,Crusaders,Dungannon Swifts,3,0
NIRP,15/09/2026,20:45,Glentoran,Coleraine,1,2
NIRP,15/09/2026,20:45,Larne,Cliftonville,2,0
NIRP,15/09/2026,20:45,Limavady,Bangor,3,1
NIRP,15/09/2026,20:45,Portadown,Linfield,1,1
NIRP,19/09/2026,16:00,Bangor,Portadown,3,1
NIRP,19/09/2026,16:00,Carrick Rangers,Larne,2,5
NIRP,19/09/2026,16:00,Cliftonville,Glentoran,1,2
NIRP,19/09/2026,16:00,Dungannon Swifts,Ballymena United,1,1
NIRP,19/09/2026,16:00,Linfield,Crusaders,1,0
NIRP,19/09/2026,19:00,Coleraine,Limavady,1,0
NIRP,21/08/2026,20:45,Ballymena United,Glentoran,0,2
NIRP,21/08/2026,20:45,Linfield,Cliftonville,1,0
NIRP,22/08/2026,16:00,Carrick Rangers,Coleraine,0,2
NIRP,22/08/2026,16:00,Dungannon Swifts,Bangor,2,0
NIRP,22/08/2026,16:00,Larne,Limavady,0,0
NIRP,22/08/2026,19:00,Crusaders,Portadown,3,2
NIRP,28/08/2026,20:45,Portadown,Coleraine,0,3
NIRP,29/08/2026,16:00,Bangor,Carrick Rangers,0,4
NIRP,29/08/2026,16:00,Cliftonville,Dungannon Swifts,0,2
NIRP,29/08/2026,16:00,Glentoran,Crusaders,1,2
NIRP,29/08/2026,16:00,Limavady,Linfield,0,2
NIRP,29/08/2026,19:00,Ballymena United,Larne,0,0
