Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
NOR3,01/04/2026,19:00,Varhaug,Åkra,2,0
NOR3,01/05/2026,13:00,Djerv 1919,Førde,3,2
NOR3,01/05/2026,13:00,Fana,Stord,2,0
NOR3,01/05/2026,13:30,Varhaug,Flekkerøy,1,1
NOR3,01/05/2026,14:00,Mandalskameratene,Åkra,2,0
NOR3,01/05/2026,14:30,Varegg,Austevoll,2,2
NOR3,01/05/2026,16:00,Herd,Byåsen,3,1
NOR3,01/06/2026,13:00,Tromsø 2,Strømsgodset 2,4,1
NOR3,01/06/2026,18:00,Brann 2,Askøy,7,1
NOR3,01/06/2026,18:00,Vard Haugesund,Åsane 2,3,1
NOR3,01/06/2026,18:30,Gneist,Sogndal 2,4,6
NOR3,01/06/2026,20:00,Lyn 2,Gjøvik-Lyn,0,0
NOR3,01/08/2026,12:30,Frigg,Ullern,2,2
NOR3,01/08/2026,13:00,Konnerud,Nordstrand,2,3
NOR3,01/08/2026,13:00,Flekkerøy,Haugesund 2,2,1
NOR3,01/08/2026,13:00,Alta,Fløya,3,1
NOR3,01/08/2026,13:00,Fauske/Sprint,Skjetten,4,5
NOR3,01/08/2026,14:00,Heming,Bærum,3,1
NOR3,01/08/2026,14:00,Vålerenga 2,Lokomotiv Oslo FK,3,2
NOR3,01/08/2026,14:00,Staal Jørpeland,Åkra,3,4
NOR3,01/08/2026,14:00,Askøy,FK Fyllingsdalen,1,0
NOR3,01/08/2026,14:00,Austevoll,Os,1,5
NOR3,01/08/2026,14:00,Gneist,Vard Haugesund,2,1
NOR3,01/08/2026,15:00,Våg,Madla,2,3
NOR3,01/08/2026,15:00,Byåsen,Spjelkavik,2,3
NOR3,01/08/2026,15:00,Fram Larvik,Elverum,1,3
NOR3,01/08/2026,15:00,Lillehammer FK,Drøbak/Frogn,2,1
NOR3,01/08/2026,15:00,Ørn Horten,Rælingen,0,2
NOR3,01/08/2026,15:00,Råde,Bjørkelangen,8,1
NOR3,01/08/2026,15:00,Sandefjord 2,Gjøvik-Lyn,1,3
NOR3,01/09/2026,18:30,Nordstrand,Grei,3,5
