Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
PAR1,01/11/2025,00:00,2 de Mayo,Atletico Tembetary,0,1
PAR1,01/11/2025,21:30,Nacional,Sportivo Trinidense,0,0
PAR1,02/08/2025,21:00,Sportivo Trinidense,Luqueno,2,0
PAR1,02/08/2025,23:30,Nacional,2 de Mayo,1,1
PAR1,02/11/2025,00:00,Libertad,Olimpia,2,2
PAR1,02/11/2025,21:30,Luqueno,Sportivo Ameliano,0,1
PAR1,03/08/2025,21:00,Olimpia,Cerro Porteno,2,3
PAR1,03/10/2025,22:30,Luqueno,2 de Mayo,0,3
PAR1,03/11/2025,00:00,Cerro Porteno,Guarani,1,0
PAR1,04/08/2025,21:00,Sportivo Ameliano,Libertad,0,4
PAR1,04/08/2025,23:30,Recoleta,Guarani,2,3
PAR1,04/10/2025,01:00,Cerro Porteno,Recoleta,2,0
PAR1,05/08/2025,23:30,Atletico Tembetary,General Caballero JLM,0,1
PAR1,05/09/2025,23:30,Luqueno,Guarani,2,3
PAR1,05/10/2025,00:00,Olimpia,Sportivo Ameliano,2,1
PAR1,05/10/2025,22:30,Guarani,Atletico Tembetary,1,0
PAR1,06/09/2025,21:00,Nacional,Recoleta,1,0
PAR1,06/09/2025,23:30,General Caballero JLM,Libertad,0,0
PAR1,06/10/2025,01:00,Libertad,Sportivo Trinidense,0,0
PAR1,06/10/2025,23:30,General Caballero JLM,Nacional,1,1
PAR1,07/09/2025,21:00,2 de Mayo,Olimpia,3,2
PAR1,07/11/2025,22:30,Recoleta,Luqueno,2,3
PAR1,08/08/2025,21:00,2 de Mayo,Sportivo Trinidense,0,2
PAR1,08/08/2025,23:30,Cerro Porteno,Nacional,0,0
PAR1,08/09/2025,23:30,Sportivo Trinidense,Sportivo Ameliano,1,0
PAR1,08/11/2025,22:00,Olimpia,General Caballero JLM,1,1
PAR1,09/08/2025,21:00,General Caballero JLM,Sportivo Ameliano,3,2
PAR1,09/08/2025,23:30,Luqueno,Atletico Tembetary,5,1
PAR1,09/11/2025,22:00,Sportivo Trinidense,Cerro Porteno,0,0
PAR1,09/11/2025,22:00,Guarani,Libertad,1,2
PAR1,10/08/2025,21:00,Guarani,Olimpia,4,0
PAR1,10/08/2025,23:30,Libertad,Recoleta,1,1
PAR1,10/10/2025,22:30,Recoleta,Olimpia,1,0
PAR1,10/11/2025,21:00,Sportivo Ameliano,2 de Mayo,2,3
PAR1,10/11/2025,23:30,Atletico Tembetary,Nacional,0,2
PAR1,11/10/2025,01:00,Sportivo Trinidense,General Caballero JLM,2,0
PAR1,11/10/2025,22:30,2 de Mayo,Cerro Porteno,0,0
PAR1,12/09/2025,21:30,Atletico Tembetary,Sportivo Ameliano,2,3
PAR1,12/10/2025,01:00,Atletico Tembetary,Libertad,2,1
PAR1,12/10/2025,22:30,Sportivo Ameliano,Guarani,1,1
PAR1,13/09/2025,00:00,2 de Mayo,Guarani,1,0
PAR1,13/09/2025,21:30,General Caballero JLM,Cerro Porteno,2,1
PAR1,13/10/2025,01:00,Nacional,Luqueno,1,1
PAR1,14/09/2025,00:00,Luqueno,Libertad,1,4
PAR1,14/09/2025,20:30,Nacional,Olimpia,4,1
PAR1,15/08/2025,21:00,Atletico Tembetary,2 de Mayo,1,1
PAR1,15/08/2025,23:30,Recoleta,General Caballero JLM,0,0
