Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
PRFEF2,01/02/2026,12:00,CD Teruel,Real Murcia,0,0
PRFEF2,01/02/2026,12:00,Marbella FC,Antequera,0,1
PRFEF2,01/02/2026,16:00,Algeciras,Eldense,1,1
PRFEF2,01/02/2026,16:00,UD Ibiza,Atletico Madrileno,2,0
PRFEF2,01/02/2026,18:15,Sabadell,Juventud Torremolinos CF,2,2
PRFEF2,01/02/2026,20:30,Alcorcon,Gimnastic,1,1
PRFEF2,01/03/2026,12:00,CE Europa,Juventud Torremolinos CF,2,3
PRFEF2,01/03/2026,12:00,UD Ibiza,SD Tarazona,1,0
PRFEF2,01/03/2026,16:00,Cartagena,Sabadell,0,0
PRFEF2,01/03/2026,16:00,Gimnastic,Antequera,0,1
PRFEF2,01/03/2026,18:15,Algeciras,CD Teruel,0,0
PRFEF2,01/03/2026,20:30,Villarreal B,Real Murcia,1,1
PRFEF2,01/05/2026,16:15,Alcorcon,CE Europa,0,1
PRFEF2,01/05/2026,21:15,Algeciras,Cartagena,2,2
PRFEF2,01/09/2025,19:30,Atletico Madrileno,Atletico Sanluqueno CF,0,0
PRFEF2,01/09/2025,19:30,Villarreal B,Alcorcon,1,0
PRFEF2,01/09/2025,21:30,Marbella FC,Real Murcia,2,1
PRFEF2,01/11/2025,16:00,Juventud Torremolinos CF,Sabadell,1,1
PRFEF2,01/11/2025,16:15,Eldense,Algeciras,3,2
PRFEF2,01/11/2025,18:00,Cartagena,Villarreal B,0,2
PRFEF2,01/11/2025,21:00,CE Europa,Atletico Sanluqueno CF,2,1
PRFEF2,02/05/2026,16:15,Gimnastic,Sevilla Atletico,2,1
PRFEF2,02/05/2026,18:30,Betis Deportivo Balompie,Antequera,1,0
PRFEF2,02/11/2025,12:00,Betis Deportivo Balompie,Real Murcia,1,2
PRFEF2,02/11/2025,12:00,CD Teruel,Marbella FC,1,0
PRFEF2,02/11/2025,12:00,SD Tarazona,UD Ibiza,0,0
PRFEF2,02/11/2025,16:00,Antequera,Hercules,1,1
PRFEF2,02/11/2025,20:30,Gimnastic,Atletico Madrileno,0,3
PRFEF2,03/01/2026,14:15,Alcorcon,Cartagena,1,1
PRFEF2,03/01/2026,16:00,Atletico Madrileno,SD Tarazona,1,1
PRFEF2,03/01/2026,16:00,Juventud Torremolinos CF,Gimnastic,2,0
PRFEF2,03/01/2026,16:30,CD Teruel,Antequera,0,1
PRFEF2,03/01/2026,18:45,Algeciras,Sevilla Atletico,3,0
PRFEF2,03/01/2026,21:00,Hercules,Sabadell,1,5
PRFEF2,03/04/2026,19:00,Eldense,CE Europa,3,0
PRFEF2,03/05/2026,12:00,CD Teruel,SD Tarazona,0,0
PRFEF2,03/05/2026,12:00,Juventud Torremolinos CF,Atletico Madrileno,3,1
PRFEF2,03/05/2026,12:00,Villarreal B,Hercules,1,0
PRFEF2,03/05/2026,17:45,UD Ibiza,Atletico Sanluqueno CF,4,0
PRFEF2,03/05/2026,18:15,Sabadell,Real Murcia,2,2
PRFEF2,03/05/2026,20:30,Eldense,Marbella FC,3,1
PRFEF2,03/10/2025,19:00,Villarreal B,Atletico Madrileno,1,3
PRFEF2,03/10/2025,21:15,Real Murcia,Sevilla Atletico,1,1
PRFEF2,04/01/2026,12:00,UD Ibiza,Eldense,0,1
PRFEF2,04/01/2026,18:45,Betis Deportivo Balompie,CE Europa,2,2
PRFEF2,04/01/2026,18:45,Villarreal B,Marbella FC,3,1
PRFEF2,04/01/2026,21:00,Atletico Sanluqueno CF,Real Murcia,0,2
PRFEF2,04/03/2026,18:30,Villarreal B,Eldense,2,0
PRFEF2,04/04/2026,16:15,Juventud Torremolinos CF,Cartagena,0,1
PRFEF2,04/04/2026,16:15,Marbella FC,Villarreal B,0,1
PRFEF2,04/04/2026,18:30,Antequera,SD Tarazona,2,3
PRFEF2,04/04/2026,18:30,Atletico Sanluqueno CF,Sevilla Atletico,0,0
PRFEF2,04/04/2026,18:30,CD Teruel,Gimnastic,1,0
PRFEF2,04/10/2025,14:00,Betis Deportivo Balompie,Algeciras,1,1
PRFEF2,04/10/2025,16:00,CE Europa,Marbella FC,2,1
PRFEF2,04/10/2025,16:15,Alcorcon,Atletico Sanluqueno CF,0,0
PRFEF2,04/10/2025,16:15,Eldense,Juventud Torremolinos CF,3,3
PRFEF2,04/10/2025,18:30,UD Ibiza,Gimnastic,0,2
PRFEF2,05/04/2026,12:00,Alcorcon,Hercules,4,0
PRFEF2,05/04/2026,12:00,Algeciras,UD Ibiza,0,0
PRFEF2,05/04/2026,18:15,Real Murcia,Atletico Madrileno,2,1
PRFEF2,05/04/2026,18:15,Sabadell,Betis Deportivo Balompie,1,3
PRFEF2,05/09/2025,19:15,Betis Deportivo Balompie,Gimnastic,2,2
PRFEF2,05/09/2025,21:30,Cartagena,Atletico Madrileno,3,2
PRFEF2,05/10/2025,12:00,Antequera,Sabadell,0,0
PRFEF2,05/10/2025,16:00,CD Teruel,Hercules,2,1
PRFEF2,05/10/2025,18:15,Cartagena,SD Tarazona,3,0
PRFEF2,05/12/2025,20:30,Sevilla Atletico,Gimnastic,1,2
PRFEF2,06/02/2026,21:15,CE Europa,Hercules,1,1
PRFEF2,06/03/2026,19:00,Real Murcia,Atletico Sanluqueno CF,0,1
PRFEF2,06/03/2026,21:15,Betis Deportivo Balompie,Sevilla Atletico,3,1
PRFEF2,06/09/2025,12:00,Eldense,Villarreal B,1,0
PRFEF2,06/09/2025,16:00,Alcorcon,CD Teruel,2,1
PRFEF2,06/09/2025,19:00,CE Europa,Sevilla Atletico,1,1
PRFEF2,06/09/2025,21:15,UD Ibiza,Hercules,2,1
PRFEF2,06/12/2025,16:00,Hercules,Juventud Torremolinos CF,2,1
PRFEF2,06/12/2025,16:15,Marbella FC,Atletico Sanluqueno CF,1,0
PRFEF2,06/12/2025,18:15,Alcorcon,Eldense,1,1
PRFEF2,07/02/2026,16:15,SD Tarazona,Atletico Sanluqueno CF,0,2
PRFEF2,07/02/2026,18:30,Atletico Madrileno,Alcorcon,0,0
PRFEF2,07/02/2026,21:00,Eldense,Sabadell,2,1
PRFEF2,07/03/2026,14:00,Sabadell,Algeciras,3,1
PRFEF2,07/03/2026,16:15,Marbella FC,CE Europa,0,2
PRFEF2,07/03/2026,18:30,Antequera,UD Ibiza,0,3
PRFEF2,07/03/2026,18:30,Eldense,Gimnastic,4,1
PRFEF2,07/09/2025,12:00,Algeciras,Marbella FC,0,0
PRFEF2,07/09/2025,12:00,SD Tarazona,Antequera,1,0
PRFEF2,07/09/2025,18:15,Atletico Sanluqueno CF,Sabadell,2,2
PRFEF2,07/09/2025,18:15,Real Murcia,Juventud Torremolinos CF,1,0
PRFEF2,07/11/2025,19:00,Sabadell,SD Tarazona,0,0
