Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
SC1,01/08/2026,16:00,Ayr United,Arbroath,2,0
SC1,01/08/2026,16:00,Greenock Morton,Partick Thistle,0,1
SC1,01/08/2026,16:00,Inverness CT,Dunfermline Athletic,0,0
SC1,01/08/2026,16:00,Livingston,Queen's Park,2,0
SC1,01/08/2026,16:00,Raith Rovers,Stenhousemuir,1,1
SC1,04/09/2026,20:30,Livingston,Stenhousemuir,0,1
SC1,05/09/2026,16:00,Arbroath,Dunfermline Athletic,1,1
SC1,05/09/2026,16:00,Inverness CT,Raith Rovers,0,2
SC1,05/09/2026,16:00,Partick Thistle,Ayr United,1,0
SC1,05/09/2026,16:00,Queen's Park,Greenock Morton,2,1
SC1,07/08/2026,20:30,Partick Thistle,Livingston,2,0
SC1,08/08/2026,16:00,Arbroath,Inverness CT,0,0
SC1,08/08/2026,16:00,Dunfermline Athletic,Ayr United,1,1
SC1,08/08/2026,16:00,Queen's Park,Raith Rovers,1,2
SC1,08/08/2026,16:00,Stenhousemuir,Greenock Morton,2,0
SC1,11/09/2026,20:30,Greenock Morton,Livingston,1,4
SC1,12/09/2026,16:00,Ayr United,Inverness CT,1,3
SC1,12/09/2026,16:00,Dunfermline Athletic,Queen's Park,2,0
SC1,12/09/2026,16:00,Raith Rovers,Arbroath,4,0
SC1,15/09/2026,20:45,Stenhousemuir,Partick Thistle,1,0
SC1,18/09/2026,20:30,Queen's Park,Ayr United,0,2
SC1,19/09/2026,16:00,Greenock Morton,Dunfermline Athletic,0,1
SC1,19/09/2026,16:00,Livingston,Inverness CT,2,2
SC1,19/09/2026,16:00,Partick Thistle,Raith Rovers,0,0
SC1,19/09/2026,16:00,Stenhousemuir,Arbroath,1,0
SC1,21/08/2026,20:30,Inverness CT,Partick Thistle,1,1
SC1,22/08/2026,16:00,Greenock Morton,Arbroath,1,2
SC1,22/08/2026,16:00,Livingston,Dunfermline Athletic,2,0
SC1,22/08/2026,16:00,Queen's Park,Stenhousemuir,0,2
SC1,22/08/2026,16:00,Raith Rovers,Ayr United,2,0
SC1,28/08/2026,20:30,Dunfermline Athletic,Raith Rovers,1,0
SC1,29/08/2026,16:00,Arbroath,Livingston,1,0
SC1,29/08/2026,16:00,Ayr United,Greenock Morton,1,1
SC1,29/08/2026,16:00,Partick Thistle,Queen's Park,0,0
SC1,29/08/2026,16:00,Stenhousemuir,Inverness CT,3,1
