Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
SCOHL,01/04/2026,20:45,Forres Mechanics,Brechin City,0,1
SCOHL,01/04/2026,21:00,Huntly,Keith,1,1
SCOHL,01/04/2026,21:00,Strathspey Thistle,Fraserburgh,0,1
SCOHL,01/04/2026,21:00,Turriff United,Nairn County,3,2
SCOHL,04/04/2026,16:00,Banks O'Dee,Wick Academy,6,1
SCOHL,04/04/2026,16:00,Brechin City,Nairn County,3,0
SCOHL,04/04/2026,16:00,Brora Rangers,Formartine United,1,1
SCOHL,04/04/2026,16:00,Buckie Thistle,Inverurie Loco Works,2,1
SCOHL,04/04/2026,16:00,Forres Mechanics,Clachnacuddin,1,1
SCOHL,04/04/2026,16:00,Fraserburgh,Deveronvale,5,0
SCOHL,04/04/2026,16:00,Huntly,Rothes,3,1
SCOHL,04/04/2026,16:00,Keith,Lossiemouth,5,0
SCOHL,04/04/2026,16:00,Strathspey Thistle,Turriff United,0,4
SCOHL,08/04/2026,21:00,Brora Rangers,Brechin City,2,1
SCOHL,08/04/2026,21:00,Nairn County,Fraserburgh,0,1
SCOHL,08/04/2026,21:00,Formartine United,Banks O'Dee,2,0
SCOHL,08/04/2026,21:00,Turriff United,Inverurie Loco Works,1,3
SCOHL,11/04/2026,16:00,Clachnacuddin,Fraserburgh,2,4
SCOHL,11/04/2026,16:00,Formartine United,Forres Mechanics,2,1
SCOHL,11/04/2026,16:00,Huntly,Brora Rangers,1,1
SCOHL,11/04/2026,16:00,Inverurie Loco Works,Deveronvale,1,3
SCOHL,11/04/2026,16:00,Lossiemouth,Strathspey Thistle,1,1
SCOHL,11/04/2026,16:00,Nairn County,Banks O'Dee,2,0
SCOHL,11/04/2026,16:00,Turriff United,Brechin City,4,1
SCOHL,11/04/2026,16:00,Rothes,Keith,1,5
SCOHL,11/04/2026,16:00,Wick Academy,Buckie Thistle,0,3
SCOHL,18/04/2026,15:30,Wick Academy,Banks O'Dee,1,1
SCOHL,25/03/2026,21:00,Keith,Strathspey Thistle,0,2
SCOHL,25/03/2026,21:00,Turriff United,Huntly,1,2
SCOHL,25/03/2026,21:00,Wick Academy,Forres Mechanics,1,3
SCOHL,25/03/2026,21:00,Brechin City,Formartine United,0,0
SCOHL,25/03/2026,21:00,Rothes,Clachnacuddin,1,5
SCOHL,28/03/2026,15:00,Strathspey Thistle,Inverurie Loco Works,0,2
SCOHL,28/03/2026,16:00,Turriff United,Wick Academy,0,1
SCOHL,28/03/2026,16:00,Formartine United,Clachnacuddin,3,0
SCOHL,28/03/2026,16:00,Nairn County,Brechin City,1,4
SCOHL,28/03/2026,16:00,Rothes,Fraserburgh,2,5
SCOHL,28/03/2026,16:00,Keith,Forres Mechanics,1,0
SCOHL,28/03/2026,16:00,Brora Rangers,Banks O'Dee,0,1
