Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
SP1,03/09/2026,21:00,Real Sociedad,Celta Vigo,0,0
SP1,04/09/2026,21:00,Real Betis,Real Madrid,1,0
SP1,05/09/2026,16:15,Athletic Club,Atletico Madrid,3,0
SP1,05/09/2026,18:30,Rayo Vallecano,Racing Santander,3,2
SP1,05/09/2026,21:00,Villarreal,Deportivo La Coruna,2,3
SP1,06/09/2026,16:15,Valencia,Barcelona,0,5
SP1,06/09/2026,18:30,Deportivo Alaves,Osasuna,5,2
SP1,06/09/2026,18:30,Malaga,Levante,0,0
SP1,06/09/2026,21:00,Espanyol,Sevilla,1,1
SP1,07/09/2026,19:00,Getafe,Celta Vigo,1,1
SP1,07/09/2026,21:30,Elche,Real Sociedad,2,3
SP1,11/09/2026,21:00,Sevilla,Valencia,1,0
SP1,12/09/2026,14:00,Racing Santander,Deportivo Alaves,2,1
SP1,12/09/2026,16:15,Osasuna,Espanyol,0,2
SP1,12/09/2026,18:30,Athletic Club,Elche,1,1
SP1,12/09/2026,21:00,Real Madrid,Rayo Vallecano,4,1
SP1,13/09/2026,14:00,Celta Vigo,Malaga,1,1
SP1,13/09/2026,16:15,Levante,Barcelona,2,4
SP1,13/09/2026,18:30,Getafe,Deportivo La Coruna,1,1
SP1,13/09/2026,21:00,Real Sociedad,Atletico Madrid,0,3
SP1,14/09/2026,21:00,Villarreal,Real Betis,1,2
SP1,15/08/2026,19:30,Deportivo Alaves,Getafe,3,0
SP1,15/08/2026,21:30,Sevilla,Rayo Vallecano,2,1
SP1,15/09/2026,19:00,Rayo Vallecano,Espanyol,2,1
SP1,15/09/2026,20:00,Deportivo Alaves,Valencia,0,1
SP1,15/09/2026,21:30,Elche,Real Madrid,2,3
SP1,16/08/2026,17:00,Racing Santander,Villarreal,2,2
SP1,16/08/2026,19:00,Espanyol,Levante,3,0
SP1,16/09/2026,19:00,Atletico Madrid,Osasuna,4,0
SP1,16/09/2026,19:00,Deportivo La Coruna,Sevilla,0,1
SP1,16/09/2026,21:30,Barcelona,Racing Santander,7,2
SP1,17/08/2026,21:00,Deportivo La Coruna,Elche,1,1
SP1,17/09/2026,19:00,Real Betis,Getafe,1,0
SP1,17/09/2026,21:30,Malaga,Villarreal,1,3
SP1,18/09/2026,21:00,Espanyol,Elche,1,3
SP1,19/08/2026,21:05,Atletico Madrid,Malaga,2,0
SP1,19/09/2026,14:00,Osasuna,Rayo Vallecano,1,1
SP1,19/09/2026,16:15,Athletic Club,Deportivo Alaves,0,0
SP1,19/09/2026,18:30,Celta Vigo,Racing Santander,5,0
SP1,19/09/2026,21:00,Sevilla,Barcelona,1,3
SP1,20/08/2026,21:00,Rayo Vallecano,Deportivo Alaves,1,1
SP1,20/09/2026,14:00,Getafe,Malaga,1,0
SP1,20/09/2026,16:15,Atletico Madrid,Real Madrid,2,1
SP1,20/09/2026,18:30,Deportivo La Coruna,Real Betis,1,1
SP1,20/09/2026,18:30,Villarreal,Levante,3,1
SP1,20/09/2026,21:00,Valencia,Real Sociedad,2,3
SP1,21/08/2026,21:00,Real Betis,Real Sociedad,1,0
SP1,22/08/2026,17:00,Athletic Club,Sevilla,1,3
SP1,22/08/2026,19:30,Valencia,Celta Vigo,0,0
SP1,22/08/2026,21:30,Espanyol,Real Madrid,1,2
SP1,23/08/2026,17:00,Atletico Madrid,Villarreal,2,2
SP1,23/08/2026,19:30,Getafe,Racing Santander,1,0
SP1,23/08/2026,21:30,Elche,Barcelona,0,5
SP1,24/08/2026,19:30,Osasuna,Levante,0,0
SP1,24/08/2026,21:30,Malaga,Deportivo La Coruna,1,1
SP1,25/08/2026,21:00,Valencia,Real Betis,0,1
SP1,26/08/2026,21:00,Real Madrid,Real Sociedad,4,1
SP1,27/08/2026,20:30,Celta Vigo,Osasuna,1,2
SP1,27/08/2026,21:00,Barcelona,Athletic Club,2,0
SP1,28/08/2026,19:00,Racing Santander,Elche,3,2
SP1,28/08/2026,21:30,Deportivo Alaves,Villarreal,1,0
SP1,29/08/2026,17:00,Levante,Real Betis,5,2
SP1,29/08/2026,19:00,Real Sociedad,Espanyol,2,1
SP1,29/08/2026,21:30,Sevilla,Atletico Madrid,1,3
SP1,30/08/2026,17:00,Real Madrid,Malaga,4,0
SP1,30/08/2026,19:30,Deportivo La Coruna,Valencia,3,1
SP1,30/08/2026,21:30,Celta Vigo,Athletic Club,0,2
SP1,31/08/2026,19:30,Osasuna,Getafe,1,0
SP1,31/08/2026,21:30,Barcelona,Rayo Vallecano,5,2
