Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
T1,04/09/2026,19:00,Başakşehir,Galatasaray,2,3
T1,05/09/2026,16:00,Erzurumspor FK,Konyaspor,1,0
T1,05/09/2026,19:00,Fenerbahçe,Beşiktaş,1,2
T1,06/09/2026,16:00,Çorum FK,Eyüpspor,3,0
T1,06/09/2026,16:00,Kasımpaşa,Amed Sportif,2,2
T1,06/09/2026,19:00,Kocaelispor,Samsunspor,1,0
T1,06/09/2026,19:00,Trabzonspor,Gençlerbirliği,5,0
T1,07/09/2026,19:00,Göztepe,Gaziantep FK,2,4
T1,07/09/2026,19:00,Rizespor,Alanyaspor,0,1
T1,11/09/2026,19:00,Beşiktaş,Erzurumspor FK,3,0
T1,12/09/2026,16:00,Eyüpspor,Rizespor,0,2
T1,12/09/2026,16:00,Samsunspor,Çorum FK,1,5
T1,12/09/2026,19:00,Alanyaspor,Göztepe,2,2
T1,12/09/2026,19:00,Konyaspor,Trabzonspor,1,0
T1,13/09/2026,16:00,Gençlerbirliği,Kasımpaşa,1,2
T1,13/09/2026,19:00,Amed Sportif,Başakşehir,5,0
T1,13/09/2026,19:00,Galatasaray,Kocaelispor,1,0
T1,14/08/2026,20:30,Galatasaray,Çorum FK,2,2
T1,14/09/2026,19:00,Gaziantep FK,Fenerbahçe,0,0
T1,15/08/2026,18:00,Kasımpaşa,Trabzonspor,1,1
T1,15/08/2026,18:00,Konyaspor,Rizespor,0,1
T1,15/08/2026,20:30,Gaziantep FK,Alanyaspor,1,1
T1,15/08/2026,20:30,Gençlerbirliği,Fenerbahçe,2,1
T1,16/08/2026,18:00,Başakşehir,Kocaelispor,2,0
T1,16/08/2026,20:30,Amed Sportif,Erzurumspor FK,3,0
T1,16/08/2026,20:30,Beşiktaş,Eyüpspor,1,0
T1,17/08/2026,20:30,Samsunspor,Göztepe,3,3
T1,18/09/2026,19:00,Kasımpaşa,Konyaspor,0,0
T1,19/09/2026,16:00,Çorum FK,Alanyaspor,1,2
T1,19/09/2026,16:00,Kocaelispor,Gaziantep FK,2,0
T1,19/09/2026,19:00,Başakşehir,Gençlerbirliği,4,0
T1,19/09/2026,19:00,Trabzonspor,Galatasaray,4,0
T1,20/09/2026,16:00,Erzurumspor FK,Samsunspor,1,0
T1,20/09/2026,16:00,Fenerbahçe,Eyüpspor,8,0
T1,20/09/2026,19:00,Amed Sportif,Beşiktaş,3,2
T1,20/09/2026,19:00,Göztepe,Rizespor,2,2
T1,21/08/2026,20:30,Erzurumspor FK,Galatasaray,0,4
T1,22/08/2026,18:00,Çorum FK,Kasımpaşa,0,1
T1,22/08/2026,18:00,Rizespor,Samsunspor,0,2
T1,22/08/2026,20:30,Fenerbahçe,Konyaspor,4,2
T1,23/08/2026,18:00,Eyüpspor,Gaziantep FK,0,1
T1,23/08/2026,18:00,Trabzonspor,Başakşehir,2,1
T1,23/08/2026,20:30,Alanyaspor,Beşiktaş,1,0
T1,23/08/2026,20:30,Göztepe,Gençlerbirliği,0,1
T1,24/08/2026,20:30,Kocaelispor,Amed Sportif,2,0
T1,28/08/2026,20:30,Gençlerbirliği,Erzurumspor FK,1,1
T1,29/08/2026,18:00,Konyaspor,Kocaelispor,1,2
T1,29/08/2026,20:30,Galatasaray,Göztepe,3,2
T1,29/08/2026,20:30,Gaziantep FK,Rizespor,1,2
T1,30/08/2026,18:00,Eyüpspor,Alanyaspor,2,1
T1,30/08/2026,20:30,Başakşehir,Kasımpaşa,1,1
T1,30/08/2026,20:30,Samsunspor,Fenerbahçe,0,2
T1,31/08/2026,20:30,Amed Sportif,Trabzonspor,2,1
T1,31/08/2026,20:30,Beşiktaş,Çorum FK,6,2
