Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
USL1,01/10/2025,20:00,El Paso Locomotive FC,Oakland Roots SC,3,1
USL1,02/08/2025,02:30,FC Tulsa,Loudoun United FC,3,2
USL1,02/08/2025,03:00,Colorado Springs Switchbacks FC,Lexington SC,3,1
USL1,02/10/2025,02:00,Birmingham Legion FC,North Carolina FC,1,1
USL1,02/10/2025,04:15,Sacramento Republic FC,Orange County SC,2,1
USL1,03/07/2025,02:00,Birmingham Legion FC,Charleston Battery,0,0
USL1,03/08/2025,01:00,Indy Eleven,Tampa Bay Rowdies,1,3
USL1,03/08/2025,01:00,Pittsburgh Riverhounds SC,Rhode Island FC,2,0
USL1,03/08/2025,02:00,Louisville City FC,North Carolina FC,4,1
USL1,03/08/2025,03:00,El Paso Locomotive FC,Las Vegas Lights FC,6,0
USL1,03/08/2025,04:00,San Antonio FC,Sacramento Republic FC,1,3
USL1,03/08/2025,04:35,Phoenix Rising FC,Birmingham Legion FC,3,3
USL1,04/07/2025,01:00,Loudoun United FC,Orange County SC,0,0
USL1,04/09/2025,01:30,Hartford Athletic,Indy Eleven,0,2
USL1,04/10/2025,22:00,Detroit City FC,North Carolina FC,2,0
USL1,04/10/2025,23:00,Loudoun United FC,Birmingham Legion FC,0,1
USL1,05/07/2025,01:00,Pittsburgh Riverhounds SC,New Mexico United,1,0
USL1,05/07/2025,03:00,Colorado Springs Switchbacks FC,Louisville City FC,0,1
USL1,05/07/2025,03:00,El Paso Locomotive FC,San Antonio FC,1,2
USL1,05/07/2025,04:30,Las Vegas Lights FC,Sacramento Republic FC,0,2
USL1,05/07/2025,04:30,Phoenix Rising FC,Lexington SC,0,1
USL1,05/10/2025,01:00,Miami FC,Pittsburgh Riverhounds SC,3,1
USL1,05/10/2025,01:30,Louisville City FC,Indy Eleven,2,0
USL1,05/10/2025,01:30,Tampa Bay Rowdies,Monterey Bay FC,4,0
USL1,05/10/2025,02:00,Colorado Springs Switchbacks FC,San Antonio FC,1,0
USL1,05/10/2025,02:00,FC Tulsa,Lexington SC,3,0
USL1,05/10/2025,04:00,Orange County SC,El Paso Locomotive FC,0,0
USL1,05/10/2025,04:00,Phoenix Rising FC,New Mexico United,0,1
USL1,05/10/2025,23:00,Rhode Island FC,Las Vegas Lights FC,3,1
USL1,06/07/2025,01:00,Miami FC,FC Tulsa,2,2
USL1,06/07/2025,01:00,Rhode Island FC,Birmingham Legion FC,1,1
USL1,06/07/2025,01:30,Indy Eleven,Monterey Bay FC,3,0
USL1,06/07/2025,04:00,Oakland Roots SC,Detroit City FC,2,0
USL1,06/07/2025,23:00,Charleston Battery,North Carolina FC,1,0
USL1,06/09/2025,00:00,Lexington SC,North Carolina FC,2,1
USL1,06/09/2025,04:30,Phoenix Rising FC,Las Vegas Lights FC,0,0
USL1,07/08/2025,01:00,Rhode Island FC,Detroit City FC,1,0
USL1,07/08/2025,01:30,Hartford Athletic,Miami FC,2,0
USL1,07/08/2025,04:00,Monterey Bay FC,FC Tulsa,2,3
USL1,07/09/2025,01:00,Detroit City FC,Orange County SC,4,1
USL1,07/09/2025,01:30,Charleston Battery,Indy Eleven,2,1
USL1,07/09/2025,01:30,Miami FC,Hartford Athletic,0,1
USL1,07/09/2025,01:30,Tampa Bay Rowdies,Sacramento Republic FC,0,2
